type,pH,Eh
normal,3.08,0.602
normal,3.48,0.595
normal,3.6,0.598
normal,3.85,0.598
normal,3.67,0.579
normal,3.47,0.579
normal,3.34,0.581
normal,3.29,0.574
normal,3.3,0.55
normal,3.51,0.551
normal,4.39,0.594
normal,4.49,0.584
normal,4.71,0.572
normal,4.79,0.558
normal,4.69,0.554
normal,4.3,0.572
normal,4.11,0.57
normal,4.03,0.555
normal,3.95,0.542
normal,3.88,0.561
normal,3.85,0.555
normal,3.82,0.55
normal,3.78,0.544
normal,4.68,0.52
normal,4.72,0.514
normal,4.78,0.509
normal,4.89,0.513
normal,4.78,0.499
normal,4.38,0.521
normal,4.19,0.51
normal,4.33,0.509
normal,4.3,0.505
normal,4.3,0.499
normal,4.28,0.49
normal,4.24,0.479
normal,4.4,0.494
normal,4.45,0.491
normal,4.49,0.486
normal,4.52,0.476
normal,4.48,0.475
normal,4.4,0.461
normal,4.32,0.467
normal,4.25,0.446
normal,4.17,0.442
normal,4.06,0.456
normal,4.16,0.463
normal,4.05,0.468
normal,3.99,0.474
normal,3.95,0.47
normal,4.1,0.494
normal,4.06,0.49
normal,3.99,0.494
normal,3.91,0.498
normal,4,0.513
normal,3.96,0.516
normal,3.96,0.524
normal,3.91,0.524
normal,3.86,0.523
normal,3.89,0.519
normal,3.84,0.514
normal,3.77,0.509
normal,3.81,0.459
normal,3.7,0.465
normal,3.76,0.471
normal,3.65,0.48
normal,3.69,0.486
normal,3.7,0.491
normal,3.7,0.495
normal,3.5,0.478
normal,2.84,0.501
normal,3.23,0.493
normal,3.33,0.494
normal,3.31,0.504
normal,3.27,0.509
normal,3.25,0.513
normal,3.21,0.513
normal,3.14,0.513
normal,3.43,0.499
normal,3.51,0.502
normal,3.55,0.494
normal,3.5,0.509
normal,3.55,0.51
normal,3.52,0.516
normal,3.41,0.523
normal,3.4,0.528
normal,3.43,0.535
normal,3.29,0.532
normal,3.55,0.532
normal,3.6,0.536
normal,3.67,0.532
normal,3.7,0.523
normal,3.61,0.524
normal,3.63,0.527
normal,3.33,0.536
wet,3.69,0.432
wet,3.74,0.409
wet,4.01,0.406
wet,3.8,0.39
wet,3.68,0.372
wet,3.83,0.349
wet,3.8,0.335
wet,4.08,0.244
wet,4.14,0.247
wet,4.27,0.268
wet,4.72,0.304
wet,4.62,0.323
wet,4.54,0.354
wet,4.84,0.315
wet,4.96,0.308
wet,5.13,0.301
wet,5.1,0.289
wet,5.07,0.274
wet,4.9,0.247
wet,5.11,0.203
wet,5.12,0.197
wet,4.99,0.334
wet,5.08,0.331
wet,5.04,0.326
wet,5.11,0.323
wet,5.15,0.322
wet,5.07,0.343
wet,4.96,0.354
wet,4.78,0.354
wet,4.81,0.36
wet,4.85,0.365
wet,4.77,0.373
wet,4.78,0.379
wet,4.71,0.377
wet,4.64,0.38
wet,4.72,0.383
wet,4.77,0.386
wet,4.7,0.388
wet,4.74,0.391
wet,4.81,0.392
wet,4.75,0.395
wet,4.59,0.402
wet,4.03,0.433
wet,5.35,0.364
wet,5.3,0.368
wet,5.83,0.339
wet,5.61,0.334
wet,5.68,0.321
wet,5.41,0.312
wet,5.47,0.3
wet,5.55,0.29
wet,5.81,0.276
wet,5.51,0.237
wet,5.67,0.207
wet,6.36,0.225
wet,6.08,0.271
wet,5.97,0.29
wet,6.05,0.297
wet,6.22,0.315
wet,6.6,0.308
wet,6.35,0.278
wet,6.33,0.27
wet,6.75,0.246
wet,7.27,0.275
wet,7.27,0.223
wet,6.95,0.203
wet,7.37,0.177
wet,6.8,0.173
wet,6.04,0.161
wet,6.71,0.162
wet,6.65,0.169
wet,6.58,0.173
wet,6.49,0.165
wet,6.54,0.161
wet,6.46,0.155
wet,6.39,0.151
wet,6.47,0.148
wet,6.57,0.141
wet,6.71,0.141
wet,6.82,0.139
wet,6.93,0.132
wet,6.71,0.128
wet,6.79,0.125
wet,7.17,0.144
wet,7.39,0.125
wet,7.83,0.095
wet,8.36,0.073
waterlogged,7.01,-0.352
waterlogged,6.67,-0.333
waterlogged,6.35,-0.327
waterlogged,6.47,-0.301
waterlogged,6.38,-0.284
waterlogged,6.87,-0.281
waterlogged,6.91,-0.27
waterlogged,6.67,-0.269
waterlogged,7.1,-0.282
waterlogged,7.38,-0.303
waterlogged,5.59,-0.292
waterlogged,5.6,-0.28
waterlogged,5.87,-0.254
waterlogged,6.17,-0.224
waterlogged,5.96,-0.213
waterlogged,5.87,-0.216
waterlogged,6.07,-0.202
waterlogged,6.48,-0.203
waterlogged,6.77,-0.167
waterlogged,7.08,-0.126
waterlogged,6.28,-0.087
waterlogged,5.47,-0.101
waterlogged,5.28,-0.111
waterlogged,5.29,-0.124
waterlogged,5.36,-0.068
waterlogged,5.89,-0.029
waterlogged,5.6,-0.021
waterlogged,5.68,0.003
waterlogged,5.59,0.005
waterlogged,5.32,0.004
waterlogged,5.08,-0
waterlogged,7.46,0.079
waterlogged,7.45,0.066
waterlogged,7.55,0.053
waterlogged,7.25,0.038
waterlogged,7.15,0.064
waterlogged,7.18,0.079
waterlogged,7.07,0.086
waterlogged,6.97,0.079
waterlogged,6.96,0.087
waterlogged,6.87,0.088
waterlogged,6.82,0.081
waterlogged,7.08,0.054
waterlogged,6.97,0.06
waterlogged,7.03,0.034
waterlogged,6.91,0.035
waterlogged,6.76,0.013
waterlogged,6.88,-0.003
waterlogged,6.88,-0.021
waterlogged,7.21,-0.021
waterlogged,7.59,0.005
waterlogged,5.76,0.024
waterlogged,5.3,0.043
waterlogged,5.37,0.056
waterlogged,5.09,0.056
waterlogged,5.05,0.045
waterlogged,5.73,0.065
waterlogged,5.88,0.084
waterlogged,6.15,0.094
waterlogged,6.14,0.086
waterlogged,6.48,0.081
waterlogged,6.5,0.066
waterlogged,5.2,0.114
waterlogged,5.48,0.101
waterlogged,5.5,0.118
waterlogged,5.45,0.129
waterlogged,5.33,0.121
waterlogged,5.87,0.109
waterlogged,5.8,0.124
waterlogged,5.75,0.128
waterlogged,5.43,0.146
waterlogged,5.47,0.154
waterlogged,5.37,0.152
waterlogged,5.32,0.155
waterlogged,5.26,0.143
waterlogged,5.18,0.159
waterlogged,6.68,0.116
waterlogged,5.55,0.173
waterlogged,5.51,0.166
waterlogged,5.1,0.187
waterlogged,4.88,0.199
waterlogged,7.12,0.083
