"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O_rQEC.down","nH2O_rQEC.up","nH2O_rQEC.diff","nO2_biosynth.down","nO2_biosynth.up","nO2_biosynth.diff","nH2O_biosynth.down","nH2O_biosynth.up","nH2O_biosynth.diff","nAA.down","nAA.up","nAA.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff"
GEPIA2_KIRC,"KIRC",,1141,1433,-0.1316,-0.1267,0.0049,-0.0085,-0.0015,0.007,-1.6397,-1.6273,0.0125,0.2806,0.2664,-0.0143,441,398,-43,5.2417,6.3283,1.0866,5.1139,5.6811,0.5671
GEPIA2_KIRP,"KIRP",,1258,827,-0.1264,-0.1292,-0.0028,-0.0046,-0.0014,0.0032,-1.6268,-1.6308,-0.004,0.2712,0.269,-0.0023,451.5,400,-51.5,5.7287,5.6601,-0.0685,5.3825,5.3438,-0.0388
GEPIA2_LAML,"LAML",,2578,2490,-0.1283,-0.1195,0.0089,0.0167,-3e-04,-0.017,-1.6595,-1.625,0.0345,0.2889,0.2605,-0.0284,336,510,174,4.3503,5.3718,1.0215,4.8226,5.3401,0.5175
GEPIA2_LGG,"LGG",,1376,3500,-0.1203,-0.126,-0.0057,0.0098,0.0071,-0.0027,-1.6139,-1.6548,-0.0409,0.2558,0.2875,0.0317,457,442.5,-14.5,5.44,4.3285,-1.1115,5.3871,4.8698,-0.5174
GEPIA2_LIHC,"LIHC",,570,1342,-0.131,-0.1348,-0.0039,-0.0043,0.0168,0.0211,-1.6244,-1.68,-0.0556,0.2675,0.3086,0.0411,416,300.5,-115.5,5.6962,4.0059,-1.6903,5.1959,4.7389,-0.457
GEPIA2_LUAD,"LUAD",,2430,949,-0.1145,-0.1286,-0.014,0.001,0.0062,0.0052,-1.6038,-1.6231,-0.0193,0.2447,0.2868,0.0421,507.5,346,-161.5,5.6127,5.5415,-0.0712,5.4732,5.2523,-0.2209
GEPIA2_LUSC,"LUSC",,3167,1654,-0.1186,-0.1302,-0.0115,0.0012,0.0096,0.0084,-1.6161,-1.6481,-0.032,0.2559,0.2926,0.0366,501,358,-143,5.6025,4.836,-0.7665,5.4274,4.9994,-0.428
GEPIA2_OV,"OV",,3567,2241,-0.1133,-0.1286,-0.0154,0.0059,0.0067,8e-04,-1.6153,-1.6378,-0.0225,0.2538,0.2704,0.0166,558,353,-205,4.8022,5.3136,0.5114,5.151,5.2487,0.0977
GEPIA2_PAAD,"PAAD",,335,8167,-0.1299,-0.1255,0.0044,-0.0138,0.0078,0.0216,-1.6161,-1.6457,-0.0296,0.2655,0.284,0.0185,438,412,-26,5.1317,4.5857,-0.546,5.0187,4.9619,-0.0568
GEPIA2_PRAD,"PRAD",,1778,518,-0.1106,-0.145,-0.0344,0.0043,9e-04,-0.0035,-1.5822,-1.6881,-0.1059,0.2237,0.3164,0.0926,518,383.5,-134.5,5.504,4.7604,-0.7436,5.4181,4.9877,-0.4304
GEPIA2_READ,"READ",,2331,2455,-0.1119,-0.1335,-0.0216,0.0032,0.0091,0.0059,-1.5944,-1.6719,-0.0774,0.2396,0.3019,0.0623,501,392,-109,5.3576,4.4965,-0.8611,5.4027,4.8482,-0.5544
GEPIA2_SKCM,"SKCM",,3007,2252,-0.1181,-0.134,-0.0159,0.0026,0.0061,0.0036,-1.6103,-1.6594,-0.0491,0.2449,0.2966,0.0517,473,370.5,-102.5,5.6917,4.7297,-0.962,5.4395,4.9622,-0.4772
GEPIA2_STAD,"STAD",,708,3458,-0.1264,-0.1283,-0.0019,4e-04,0.0082,0.0078,-1.6278,-1.6546,-0.0268,0.2574,0.2957,0.0383,433.5,429,-4.5,5.4661,4.6214,-0.8447,5.2175,4.9964,-0.221
GEPIA2_TGCT,"TGCT",,6227,2174,-0.1201,-0.1323,-0.0122,0.0061,0.005,-0.0011,-1.6328,-1.6498,-0.017,0.2635,0.2849,0.0214,461,334,-127,5.5057,5.1089,-0.3969,5.3476,5.1086,-0.239
GEPIA2_THCA,"THCA",,2341,524,-0.1133,-0.1292,-0.016,0.003,0.0063,0.0033,-1.6016,-1.6308,-0.0292,0.2376,0.2686,0.031,547,365,-182,5.0666,6.4837,1.4171,5.2367,5.689,0.4523
GEPIA2_THYM,"THYM",,783,10099,-0.1312,-0.1227,0.0085,-0.0099,0.0111,0.021,-1.6388,-1.6457,-0.0069,0.2744,0.2769,0.0026,398,442,44,6.5602,4.1602,-2.4,5.5398,4.8295,-0.7102
GEPIA2_UCEC,"UCEC",,3834,1733,-0.1111,-0.1292,-0.0181,0.0043,0.0138,0.0095,-1.6061,-1.6466,-0.0404,0.248,0.2778,0.0298,556.5,342,-214.5,5.0569,4.9941,-0.0628,5.3252,5.1117,-0.2135
GEPIA2_UCS,"UCS",,3418,1592,-0.1133,-0.1266,-0.0133,0.0058,0.0183,0.0125,-1.6164,-1.6422,-0.0258,0.255,0.278,0.023,569,356.5,-212.5,4.939,4.8813,-0.0576,5.2375,5.0952,-0.1423
