name,Run,BioSample,SampleName,pond,supplement,replicate,layer,description,depth
"Winogradsky Columns",SRR1123410,SAMN02581198,"W5-3 C",Eph's,"vegetable scraps",3,"8 cm","black, grey",8
"Winogradsky Columns",SRR1123372,SAMN02581170,"W5-3 D",Eph's,"vegetable scraps",3,"12 cm","black and grey, similar to 5C",12
"Winogradsky Columns",SRR1123248,SAMN02581145,"W5-3 E",Eph's,"vegetable scraps",3,Top,"bright green film from top wall",-4
"Winogradsky Columns",SRR1123330,SAMN02581183,"W6-1 A",Eph's,"leaf litter",1,SWI,green,0
"Winogradsky Columns",SRR1123335,SAMN02581146,"W6-1 B",Eph's,"leaf litter",1,"4 cm","black, smells of sulfide",4
"Winogradsky Columns",SRR1123532,SAMN02581212,"W6-1 C",Eph's,"leaf litter",1,"8 cm",black,8
"Winogradsky Columns",SRR1123284,SAMN02581199,"W6-1 D",Eph's,"leaf litter",1,"12 cm",black,12
"Winogradsky Columns",SRR1123499,SAMN02581176,"W6-2 A",Eph's,"leaf litter",2,SWI,top/green,0
"Winogradsky Columns",SRR1123341,SAMN02581177,"W6-2 B",Eph's,"leaf litter",2,"4 cm",brownish,4
"Winogradsky Columns",SRR1123185,SAMN02581184,"W6-2 D",Eph's,"leaf litter",2,"12 cm",black,12
"Winogradsky Columns",SRR1123220,SAMN02581185,"W6-3 A",Eph's,"leaf litter",3,SWI,"orange, olive green emerald green, some red/brown",0
"Winogradsky Columns",SRR1123412,SAMN02581215,"W6-3 B",Eph's,"leaf litter",3,"4 cm","Olive green, emerald green,",4
"Winogradsky Columns",SRR1123199,SAMN02581159,"W6-3 C",Eph's,"leaf litter",3,"8 cm","pale green, white, black",8
"Winogradsky Columns",SRR1123331,SAMN02581216,"W6-3 D",Eph's,"leaf litter",3,"12 cm","grey, some dark green and white",12
"Winogradsky Columns",SRR1123118,SAMN02581188,"W6-3 E",Eph's,"leaf litter",3,"12 cm","black and grey, some forest green, white flecks",12
"Winogradsky Columns",SRR1123551,SAMN02581201,"W6-3 F",Eph's,"leaf litter",3,"3 cm","light brown, dark grey, rust color, some green",3
"Winogradsky Columns",SRR1123186,SAMN02581189,"W6-3 H",Eph's,"leaf litter",3,"6 cm","green (marbled forest green and olive green), rust color, green/yellows",6
"Winogradsky Columns",SRR1123184,SAMN02581160,"W6-3 I",Eph's,"leaf litter",3,Top,"green/brown film from top wall",-4
