Name,Run,BioSample,"Body site","Body subsite","Sample name",Metagenome,Used_in_Tax4Fun_paper
HMP,SRR040582,NA,"Nasal cavity",anterior_nares,SRS016553,SRR060433,TRUE
HMP,SRR041789,NA,"Oral cavity",buccal_mucosa,SRS013506,SRR062040,TRUE
HMP,SRR041621,NA,"Oral cavity",buccal_mucosa,SRS013711,SRR062010,TRUE
HMP,SRR040949,NA,"Oral cavity",buccal_mucosa,SRS016349,SRR061910,TRUE
HMP,SRR041712,NA,"Oral cavity",buccal_mucosa,SRS016533,SRR061960,TRUE
HMP,SRR041343,NA,"Oral cavity",buccal_mucosa,SRS016600,SRR062063,TRUE
HMP,SRR040791,NA,"Oral cavity",supragingival_plaque,SRS013252,SRR061968,TRUE
HMP,SRR041536,NA,"Oral cavity",supragingival_plaque,SRS013723,SRR059889,TRUE
HMP,SRR047457,NA,"Oral cavity",supragingival_plaque,SRS015470,SRR062356,TRUE
HMP,SRR044085,NA,"Oral cavity",supragingival_plaque,SRS015574,SRR062519,TRUE
HMP,SRR044384,NA,"Oral cavity",supragingival_plaque,SRS016331,SRR061171,TRUE
HMP,SRR040741,NA,"Oral cavity",tongue_dorsum,SRS013234,SRR061940,TRUE
HMP,SRR049863,NA,"Oral cavity",tongue_dorsum,SRS015762,SRR061241,TRUE
HMP,SRR044274,NA,"Oral cavity",tongue_dorsum,SRS016002,SRR061202,TRUE
HMP,SRR044381,NA,"Oral cavity",tongue_dorsum,SRS016225,SRR061233,TRUE
HMP,SRR040656,NA,"Oral cavity",tongue_dorsum,SRS016529,SRR062004,TRUE
HMP,SRR040697,NA,Skin,left_retroauricular_crease,SRS013258,SRR063917,TRUE
HMP,SRR040735,NA,Skin,right_retroauricular_crease,SRS013261,SRR062091,TRUE
HMP,SRR049312,NA,"UG tract",posterior_fornix,SRS011584,SRR062434,TRUE
HMP,SRR045699,NA,"UG tract",posterior_fornix,SRS014343,SRR062364,TRUE
HMP,SRR045687,NA,"UG tract",posterior_fornix,SRS014629,SRR061196,TRUE
HMP,SRR047559,NA,"UG tract",posterior_fornix,SRS015425,SRR061263,TRUE
HMP,SRR044399,NA,"UG tract",posterior_fornix,SRS016111,SRR061274,TRUE
HMP,SRR040605,NA,"UG tract",posterior_fornix,SRS016559,SRR060445,TRUE
HMP,SRR044672,SAMN00040305,"Nasal cavity","G_DNA_Anterior nares",SRS019087,SRR062440,FALSE
HMP,SRR046661,SAMN00084203,"Nasal cavity","G_DNA_Anterior nares",SRS065179,SRR062461,FALSE
HMP,SRR042812,SAMN00038262,"Nasal cavity","G_DNA_Anterior nares",SRS017044,SRR061913,FALSE
HMP,SRR044449,SAMN00039803,"Nasal cavity","G_DNA_Anterior nares",SRS018585,SRR346690,FALSE
HMP,SRR042958,SAMN00041604,"Nasal cavity","G_DNA_Anterior nares",SRS020386,SRR063912,FALSE
HMP,SRR042965,SAMN00042123,"Nasal cavity","G_DNA_Anterior nares",SRS020905,SRR059518,FALSE
HMP,SRR043024,SAMN00043347,"Nasal cavity","G_DNA_Anterior nares",SRS022129,SRR060436,FALSE
HMP,SRR042011,SAMN00043863,"Nasal cavity","G_DNA_Anterior nares",SRS022645,SRR060382,FALSE
HMP,SRR041941,SAMN00044430,"Nasal cavity","G_DNA_Anterior nares",SRS023212,SRR062094,FALSE
HMP,SRR042935,SAMN00045282,"Nasal cavity","G_DNA_Anterior nares",SRS024064,SRR062007,FALSE
HMP,SRR041919,SAMN00045519,"Nasal cavity","G_DNA_Anterior nares",SRS024301,SRR060414,FALSE
HMP,SRR047112,SAMN00071609,"Nasal cavity","G_DNA_Anterior nares",SRS051600,SRR061261,FALSE
HMP,SRR042808,SAMN00067234,"Nasal cavity","G_DNA_Anterior nares",SRS047225,SRR061943,FALSE
HMP,SRR041912,SAMN00039681,"Nasal cavity","G_DNA_Anterior nares",SRS018463,SRR059872,FALSE
HMP,SRR040577,SAMN00043224,"Nasal cavity","G_DNA_Anterior nares",SRS022006,SRR062076,FALSE
HMP,SRR040668,SAMN00045642,"Nasal cavity","G_DNA_Anterior nares",SRS024424,SRR063925,FALSE
HMP,SRR040991,SAMN00064483,"Nasal cavity","G_DNA_Anterior nares",SRS044474,SRR062025,FALSE
HMP,SRR046615,SAMN00082311,"Oral cavity","G_DNA_Buccal mucosa",SRS063287,SRR062429,FALSE
HMP,SRR046612,SAMN00083833,"Oral cavity","G_DNA_Buccal mucosa",SRS064809,SRR062399,FALSE
HMP,SRR044641,SAMN00037139,"Oral cavity","G_DNA_Buccal mucosa",SRS015921,SRR062458,FALSE
HMP,SRR041742,SAMN00043843,"Oral cavity","G_DNA_Buccal mucosa",SRS022625,SRR061965,FALSE
HMP,SRR041859,SAMN00045499,"Oral cavity","G_DNA_Buccal mucosa",SRS024281,SRR062106,FALSE
HMP,SRR046395,SAMN00065206,"Oral cavity","G_DNA_Supragingival plaque",SRS045197,SRR061239,FALSE
HMP,SRR047319,SAMN00075459,"Oral cavity","G_DNA_Supragingival plaque",SRS055450,SRR062522,FALSE
HMP,SRR047248,SAMN00067274,"Oral cavity","G_DNA_Supragingival plaque",SRS047265,SRR061217,FALSE
HMP,SRR046544,SAMN00083517,"Oral cavity","G_DNA_Supragingival plaque",SRS064493,SRR346717,FALSE
HMP,SRR046608,SAMN00084334,"Oral cavity","G_DNA_Supragingival plaque",SRS065310,SRR353633,FALSE
HMP,SRR045535,SAMN00035489,"Oral cavity","G_DNA_Tongue dorsum",SRS014271,SRR062419,FALSE
HMP,SRR043773,SAMN00036392,"Oral cavity","G_DNA_Tongue dorsum",SRS015174,SRR061473,FALSE
HMP,SRR045675,SAMN00036613,"Oral cavity","G_DNA_Tongue dorsum",SRS015395,SRR061225,FALSE
HMP,SRR047649,SAMN00040009,"Oral cavity","G_DNA_Tongue dorsum",SRS018791,SRR061141,FALSE
HMP,SRR046214,SAMN00069398,"Oral cavity","G_DNA_Tongue dorsum",SRS049389,SRR061210,FALSE
HMP,SRR042838,SAMN00038162,Skin,"G_DNA_L_Retroauricular crease",SRS016944,SRR062060,FALSE
HMP,SRR041626,SAMN00039067,Skin,"G_DNA_L_Retroauricular crease",SRS017849,SRR061923,FALSE
HMP,SRR040702,SAMN00041479,Skin,"G_DNA_L_Retroauricular crease",SRS020261,SRR062019,FALSE
HMP,SRR041075,SAMN00045700,Skin,"G_DNA_L_Retroauricular crease",SRS024482,SRR061947,FALSE
HMP,SRR040718,SAMN00045814,Skin,"G_DNA_L_Retroauricular crease",SRS024596,SRR062017,FALSE
HMP,SRR044719,SAMN00040299,Skin,"G_DNA_R_Retroauricular crease",SRS019081,SRR062442,FALSE
HMP,SRR041496,SAMN00039069,Skin,"G_DNA_R_Retroauricular crease",SRS017851,SRR061925,FALSE
HMP,SRR040621,SAMN00041481,Skin,"G_DNA_R_Retroauricular crease",SRS020263,SRR062015,FALSE
HMP,SRR040790,SAMN00045816,Skin,"G_DNA_R_Retroauricular crease",SRS024598,SRR061921,FALSE
HMP,SRR041327,SAMN00045873,Skin,"G_DNA_R_Retroauricular crease",SRS024655,SRR062005,FALSE
HMP,SRR040988,SAMN00078191,Skin,"G_DNA_R_Retroauricular crease",SRS058182,SRR061927,FALSE
HMP,SRR044205,SAMN00064911,"UG tract","G_DNA_Posterior fornix",SRS044902,SRR514852,FALSE
HMP,SRR045977,SAMN00040597,"UG tract","G_DNA_Posterior fornix",SRS019379,SRR061248,FALSE
HMP,SRR046348,SAMN00064751,"UG tract","G_DNA_Posterior fornix",SRS044742,SRR346709,FALSE
HMP,SRR046276,SAMN00082441,"UG tract","G_DNA_Posterior fornix",SRS063417,SRR061189,FALSE
HMP,SRR046662,SAMN00084371,"UG tract","G_DNA_Posterior fornix",SRS065347,SRR062335,FALSE
HMP,SRR044392,SAMN00039987,"UG tract","G_DNA_Posterior fornix",SRS018769,SRR061264,FALSE
HMP,SRR044312,SAMN00040463,"UG tract","G_DNA_Posterior fornix",SRS019245,SRR346655,FALSE
HMP,SRR041845,SAMN00045528,"UG tract","G_DNA_Posterior fornix",SRS024310,SRR062074,FALSE
HMP,SRR041213,SAMN00038715,"UG tract","G_DNA_Posterior fornix",SRS017497,SRR059348,FALSE
