Name,Run,Sample,BioSample,Group
"IBD Gut",ERR6558723,ERS7273635,SAMEA9550877,case
"IBD Gut",ERR6558724,ERS7273636,SAMEA9550878,case
"IBD Gut",ERR6558725,ERS7273637,SAMEA9550879,case
"IBD Gut",ERR6558726,ERS7273638,SAMEA9550880,case
"IBD Gut",ERR6558727,ERS7273639,SAMEA9550881,case
"IBD Gut",ERR6558728,ERS7273640,SAMEA9550882,case
"IBD Gut",ERR6558729,ERS7273641,SAMEA9550883,case
"IBD Gut",ERR6558730,ERS7273642,SAMEA9550884,case
"IBD Gut",ERR6558731,ERS7273643,SAMEA9550885,case
"IBD Gut",ERR6558732,ERS7273644,SAMEA9550886,case
"IBD Gut",ERR6558733,ERS7273645,SAMEA9550887,case
"IBD Gut",ERR6558734,ERS7273646,SAMEA9550888,case
"IBD Gut",ERR6558735,ERS7273647,SAMEA9550889,case
"IBD Gut",ERR6558736,ERS7273648,SAMEA9550890,case
"IBD Gut",ERR6558737,ERS7273649,SAMEA9550891,case
"IBD Gut",ERR6558738,ERS7273650,SAMEA9550892,case
"IBD Gut",ERR6558739,ERS7273651,SAMEA9550893,case
"IBD Gut",ERR6558740,ERS7273652,SAMEA9550894,case
"IBD Gut",ERR6558741,ERS7273653,SAMEA9550895,case
"IBD Gut",ERR6558742,ERS7273654,SAMEA9550896,case
"IBD Gut",ERR6558743,ERS7273655,SAMEA9550897,case
"IBD Gut",ERR6558744,ERS7273656,SAMEA9550898,case
"IBD Gut",ERR6558745,ERS7273657,SAMEA9550899,case
"IBD Gut",ERR6558746,ERS7273658,SAMEA9550900,case
"IBD Gut",ERR6558747,ERS7273659,SAMEA9550901,case
"IBD Gut",ERR6558748,ERS7273660,SAMEA9550902,case
"IBD Gut",ERR6558749,ERS7273661,SAMEA9550903,control
"IBD Gut",ERR6558750,ERS7273662,SAMEA9550904,control
"IBD Gut",ERR6558751,ERS7273663,SAMEA9550905,control
"IBD Gut",ERR6558752,ERS7273664,SAMEA9550906,control
"IBD Gut",ERR6558753,ERS7273665,SAMEA9550907,control
"IBD Gut",ERR6558754,ERS7273666,SAMEA9550908,control
"IBD Gut",ERR6558755,ERS7273667,SAMEA9550909,control
"IBD Gut",ERR6558756,ERS7273668,SAMEA9550910,control
"IBD Gut",ERR6558757,ERS7273669,SAMEA9550911,control
"IBD Gut",ERR6558758,ERS7273670,SAMEA9550912,control
"IBD Gut",ERR6558759,ERS7273671,SAMEA9550913,control
"IBD Gut",ERR6558760,ERS7273672,SAMEA9550914,control
"IBD Gut",ERR6558761,ERS7273673,SAMEA9550915,control
"IBD Gut",ERR6558762,ERS7273674,SAMEA9550916,control
"IBD Gut",ERR6558763,ERS7273675,SAMEA9550917,control
"IBD Gut",ERR6558764,ERS7273676,SAMEA9550919,control
"IBD Gut",ERR6558765,ERS7273677,SAMEA9550920,control
"IBD Gut",ERR6558766,ERS7273678,SAMEA9550921,control
"IBD Gut",ERR6558767,ERS7273679,SAMEA9550922,control
"IBD Gut",ERR6558768,ERS7273680,SAMEA9550923,control
"IBD Gut",ERR6558769,ERS7273681,SAMEA9550924,control
"IBD Gut",ERR6558770,ERS7273682,SAMEA9550925,control
"IBD Gut",ERR6558771,ERS7273683,SAMEA9550926,control
"IBD Gut",ERR6558772,ERS7273684,SAMEA9550927,control
"IBD Gut",ERR6558773,ERS7273685,SAMEA9550928,control
"IBD Gut",ERR6558774,ERS7273686,SAMEA9550929,control
"IBD Gut",ERR6558775,ERS7273687,SAMEA9550930,control
"IBD Gut",ERR6558776,ERS7273688,SAMEA9550931,control
"IBD Gut",ERR6558777,ERS7273689,SAMEA9550932,control
"IBD Gut",ERR6558778,ERS7273690,SAMEA9550933,control
"IBD Gut",ERR6558779,ERS7273691,SAMEA9550934,control
"IBD Gut",ERR6558780,ERS7273692,SAMEA9550935,control
"IBD Gut",ERR6558781,ERS7273693,SAMEA9550936,control
"IBD Gut",ERR6558782,ERS7273694,SAMEA9550937,control
"IBD Gut",ERR6558783,ERS7273695,SAMEA9550938,control
"IBD Gut",ERR6558784,ERS7273696,SAMEA9550939,control
"IBD Gut",ERR6558785,ERS7273697,SAMEA9550940,control
"IBD Gut",ERR6558786,ERS7273698,SAMEA9550941,control
"IBD Gut",ERR6558787,ERS7273699,SAMEA9550942,control
"IBD Gut",ERR6558788,ERS7273700,SAMEA9550943,control
"IBD Gut",ERR6558789,ERS7273701,SAMEA9550944,control
"IBD Gut",ERR6558790,ERS7273702,SAMEA9550945,control
"IBD Gut",ERR6558791,ERS7273703,SAMEA9550946,control
"IBD Gut",ERR6558792,ERS7273704,SAMEA9550947,control
"IBD Gut",ERR6558793,ERS7273705,SAMEA9550948,control
"IBD Gut",ERR6558794,ERS7273706,SAMEA9550949,control
"IBD Gut",ERR6558795,ERS7273707,SAMEA9550950,control
"IBD Gut",ERR6558796,ERS7273708,SAMEA9550951,control
"IBD Gut",ERR6558797,ERS7273709,SAMEA9550952,control
"IBD Gut",ERR6558798,ERS7273710,SAMEA9550953,control
"IBD Gut",ERR6558799,ERS7273711,SAMEA9550954,control
"IBD Gut",ERR6558800,ERS7273712,SAMEA9550955,control
"IBD Gut",ERR6558801,ERS7273713,SAMEA9550956,control
"IBD Gut",ERR6558802,ERS7273714,SAMEA9550957,control
"IBD Gut",ERR6558803,ERS7273715,SAMEA9550958,control
"IBD Gut",ERR6558804,ERS7273716,SAMEA9550959,control
"IBD Gut",ERR6558805,ERS7273717,SAMEA9550960,control
"IBD Gut",ERR6558806,ERS7273718,SAMEA9550961,control
"IBD Gut",ERR6558807,ERS7273719,SAMEA9550962,control
"IBD Gut",ERR6558808,ERS7273720,SAMEA9550963,control
"IBD Gut",ERR6558809,ERS7273721,SAMEA9550964,control
"IBD Gut",ERR6558810,ERS7273722,SAMEA9550965,control
"IBD Gut",ERR6558811,ERS7273723,SAMEA9550966,control
"IBD Gut",ERR6558812,ERS7273724,SAMEA9550967,control
"IBD Gut",ERR6558813,ERS7273725,SAMEA9550968,control
"IBD Gut",ERR6558814,ERS7273726,SAMEA9550969,control
"IBD Gut",ERR6558815,ERS7273727,SAMEA9550970,control
"IBD Gut",ERR6558816,ERS7273728,SAMEA9550971,control
"IBD Gut",ERR6558817,ERS7273729,SAMEA9550972,control
"IBD Gut",ERR6558818,ERS7273730,SAMEA9550973,control
"IBD Gut",ERR6558819,ERS7273731,SAMEA9550974,control
"IBD Gut",ERR6558820,ERS7273732,SAMEA9550975,control
"IBD Gut",ERR6558821,ERS7273733,SAMEA9550976,control
"IBD Gut",ERR6558822,ERS7273734,SAMEA9550977,control
"IBD Gut",ERR6558823,ERS7273735,SAMEA9550978,control
"IBD Gut",ERR6558824,ERS7273736,SAMEA9550979,control
"IBD Gut",ERR6558825,ERS7273737,SAMEA9550980,control
"IBD Gut",ERR6558826,ERS7273738,SAMEA9550981,control
"IBD Gut",ERR6558827,ERS7273739,SAMEA9550982,control
"IBD Gut",ERR6558828,ERS7273740,SAMEA9550983,control
"IBD Gut",ERR6558829,ERS7273741,SAMEA9550984,control
"IBD Gut",ERR6558830,ERS7273742,SAMEA9550985,control
"IBD Gut",ERR6558831,ERS7273743,SAMEA9550986,control
"IBD Gut",ERR6558832,ERS7273744,SAMEA9550987,control
"IBD Gut",ERR6558833,ERS7273745,SAMEA9550988,control
"IBD Gut",ERR6558834,ERS7273746,SAMEA9550989,control
"IBD Gut",ERR6558835,ERS7273747,SAMEA9550990,control
"IBD Gut",ERR6558836,ERS7273748,SAMEA9550991,control
"IBD Gut",ERR6558837,ERS7273749,SAMEA9550992,control
"IBD Gut",ERR6558838,ERS7273750,SAMEA9550993,control
"IBD Gut",ERR6558839,ERS7273751,SAMEA9550994,control
"IBD Gut",ERR6558840,ERS7273752,SAMEA9550995,control
"IBD Gut",ERR6558841,ERS7273753,SAMEA9550996,control
"IBD Gut",ERR6558842,ERS7273754,SAMEA9550997,control
"IBD Gut",ERR6558843,ERS7273755,SAMEA9550998,control
"IBD Gut",ERR6558844,ERS7273756,SAMEA9550999,control
