Name,Run,LibraryName,BioSample,Sample
"COVID-19 Gut",SRR24718643,COVID19_CP020,SAMN29795301,COVID19_CP020
"COVID-19 Gut",SRR24718641,COVID19_CP023,SAMN29795302,COVID19_CP023
"COVID-19 Gut",SRR24718640,COVID19_CP026,SAMN29795303,COVID19_CP026
"COVID-19 Gut",SRR24718639,COVID19_CP029,SAMN29795304,COVID19_CP029
"COVID-19 Gut",SRR24718638,COVID19_CP031,SAMN29795305,COVID19_CP031
"COVID-19 Gut",SRR24718637,COVID19_CP032,SAMN29795306,COVID19_CP032
"COVID-19 Gut",SRR24718636,COVID19_CP033,SAMN29795307,COVID19_CP033
"COVID-19 Gut",SRR24718635,COVID19_CP034,SAMN29795308,COVID19_CP034
"COVID-19 Gut",SRR24718634,COVID19_CP038,SAMN29795309,COVID19_CP038
"COVID-19 Gut",SRR24718633,COVID19_CP039,SAMN29795310,COVID19_CP039
"COVID-19 Gut",SRR24718632,COVID19_CP053,SAMN29795311,COVID19_CP053
"COVID-19 Gut",SRR24718630,COVID19_CP054,SAMN29795312,COVID19_CP054
"COVID-19 Gut",SRR24718629,COVID19_CP066,SAMN29795313,COVID19_CP066
"COVID-19 Gut",SRR24718628,COVID19_CP069,SAMN29795314,COVID19_CP069
"COVID-19 Gut",SRR24718627,COVID19_CP079,SAMN29795315,COVID19_CP079
"COVID-19 Gut",SRR24718626,COVID19_CP081,SAMN29795316,COVID19_CP081
"COVID-19 Gut",SRR24718625,COVID19_CP089,SAMN29795317,COVID19_CP089
"COVID-19 Gut",SRR24718624,COVID19_CP097,SAMN29795318,COVID19_CP097
"COVID-19 Gut",SRR24718623,COVID19_CP100,SAMN29795319,COVID19_CP100
"COVID-19 Gut",SRR24718622,COVID19_CP101,SAMN29795320,COVID19_CP101
"COVID-19 Gut",SRR24718621,COVID19_CP103,SAMN29795321,COVID19_CP103
"COVID-19 Gut",SRR24718619,COVID19_CP107,SAMN29795322,COVID19_CP107
"COVID-19 Gut",SRR24718618,COVID19_CP112,SAMN29795323,COVID19_CP112
"COVID-19 Gut",SRR24718617,COVID19_CP113,SAMN29795324,COVID19_CP113
"COVID-19 Gut",SRR24718616,COVID19_CP114,SAMN29795325,COVID19_CP114
"COVID-19 Gut",SRR24718615,COVID19_CP117,SAMN29795326,COVID19_CP117
"COVID-19 Gut",SRR24718736,COVID19_CP120,SAMN29795327,COVID19_CP120
"COVID-19 Gut",SRR24718583,HC_01,SAMN29795217,HC_01
"COVID-19 Gut",SRR24718672,HC_02,SAMN29795218,HC_02
"COVID-19 Gut",SRR24718671,HC_03,SAMN29795219,HC_03
"COVID-19 Gut",SRR24718670,HC_04,SAMN29795220,HC_04
"COVID-19 Gut",SRR24718669,HC_05,SAMN29795221,HC_05
"COVID-19 Gut",SRR24718667,HC_06,SAMN29795222,HC_06
"COVID-19 Gut",SRR24718666,HC_07,SAMN29795223,HC_07
"COVID-19 Gut",SRR24718665,HC_08,SAMN29795224,HC_08
"COVID-19 Gut",SRR24718664,HC_09,SAMN29795225,HC_09
"COVID-19 Gut",SRR24718663,HC_10,SAMN29795226,HC_10
"COVID-19 Gut",SRR24718662,HC_11,SAMN29795227,HC_11
"COVID-19 Gut",SRR24718661,HC_12,SAMN29795228,HC_12
"COVID-19 Gut",SRR24718660,HC_13,SAMN29795229,HC_13
"COVID-19 Gut",SRR24718659,HC_14,SAMN29795230,HC_14
"COVID-19 Gut",SRR24718658,HC_15,SAMN29795231,HC_15
"COVID-19 Gut",SRR24718656,HC_16,SAMN29795232,HC_16
"COVID-19 Gut",SRR24718655,HC_17,SAMN29795233,HC_17
"COVID-19 Gut",SRR24718654,HC_18,SAMN29795234,HC_18
"COVID-19 Gut",SRR24718653,HC_19,SAMN29795235,HC_19
"COVID-19 Gut",SRR24718652,HC_20,SAMN29795236,HC_20
"COVID-19 Gut",SRR24718651,HC_21,SAMN29795237,HC_21
"COVID-19 Gut",SRR24718650,HC_22,SAMN29795238,HC_22
"COVID-19 Gut",SRR24718649,HC_23,SAMN29795239,HC_23
"COVID-19 Gut",SRR24718648,HC_24,SAMN29795240,HC_24
"COVID-19 Gut",SRR24718647,HC_25,SAMN29795241,HC_25
"COVID-19 Gut",SRR24718765,HC_26,SAMN29795242,HC_26
"COVID-19 Gut",SRR24718764,HC_27,SAMN29795243,HC_27
"COVID-19 Gut",SRR24718763,HC_28,SAMN29795244,HC_28
"COVID-19 Gut",SRR24718762,HC_29,SAMN29795245,HC_29
"COVID-19 Gut",SRR24718761,HC_30,SAMN29795246,HC_30
"COVID-19 Gut",SRR24718760,HC_31,SAMN29795247,HC_31
"COVID-19 Gut",SRR24718759,HC_32,SAMN29795248,HC_32
"COVID-19 Gut",SRR24718758,HC_33,SAMN29795249,HC_33
"COVID-19 Gut",SRR24718757,HC_34,SAMN29795250,HC_34
"COVID-19 Gut",SRR24718756,HC_35,SAMN29795251,HC_35
"COVID-19 Gut",SRR24718754,HC_36,SAMN29795252,HC_36
"COVID-19 Gut",SRR24718753,HC_37,SAMN29795253,HC_37
"COVID-19 Gut",SRR24718752,HC_38,SAMN29795254,HC_38
"COVID-19 Gut",SRR24718751,HC_39,SAMN29795255,HC_39
"COVID-19 Gut",SRR24718750,HC_40,SAMN29795256,HC_40
"COVID-19 Gut",SRR24718749,HC_41,SAMN29795257,HC_41
"COVID-19 Gut",SRR24718748,HC_42,SAMN29795258,HC_42
"COVID-19 Gut",SRR24718747,HC_43,SAMN29795259,HC_43
"COVID-19 Gut",SRR24718746,HC_44,SAMN29795260,HC_44
"COVID-19 Gut",SRR24718745,HC_45,SAMN29795261,HC_45
"COVID-19 Gut",SRR24718743,HC_46,SAMN29795262,HC_46
"COVID-19 Gut",SRR24718742,HC_47,SAMN29795263,HC_47
"COVID-19 Gut",SRR24718741,HC_48,SAMN29795264,HC_48
"COVID-19 Gut",SRR24718740,HC_49,SAMN29795265,HC_49
"COVID-19 Gut",SRR24718739,HC_50,SAMN29795266,HC_50
"COVID-19 Gut",SRR24718738,HC_51,SAMN29795267,HC_51
"COVID-19 Gut",SRR24718737,HC_52,SAMN29795268,HC_52
