taxid	lineage	name	rank	SRR5803943	SRR5803944	SRR5803945	SRR5803946	SRR5803949	SRR5803950	SRR5803951	SRR5803952	SRR5803953	SRR5803954	SRR5803955	SRR5803956	SRR5803957	SRR5803958	SRR5803959	SRR5803960	SRR5803961	SRR5803962	SRR5803963	SRR5803964	SRR5803965	SRR5803966	SRR5803967	SRR5803968	SRR5803969	SRR5803970	SRR5803971	SRR5803972	SRR5803973	SRR5803984	SRR5803985	SRR5803986	SRR5803997	SRR5803998	SRR5803999	SRR5804000	SRR5804001	SRR5804002	SRR5804003	SRR5804004	SRR5804005	SRR5804006	SRR5804007	SRR5804008	SRR5804009	SRR5804010	SRR5804011	SRR5804012
2088	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanomicrobia;class;Methanomicrobiales;order;Methanospirillaceae;family;Methanospirillum;genus;	Methanospirillum	genus	0	3	0	1	2	4	1	1	1	1	0	0	6	0	0	1	0	0	0	0	1	4	0	8	0	24	0	4	0	1	0	0	4	0	1	0	1	11	0	0	0	0	0	0	1	1	0	0
-2073	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanomicrobia;class;unclassified_Methanomicrobia;;	unclassified_Methanomicrobia		0	25	0	0	1	0	1	0	0	0	0	14	13	6	0	0	1	2	1	11	0	0	0	26	0	0	0	113	0	0	101	2	0	0	67	1	0	0	0	0	0	0	0	23	0	0	0	46
2119	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Thermoplasmata;class;	Thermoplasmata	class	5	0	2	7	7	146	7	15	27	17	24	170	17	15	21	50	2	3	20	5	70	50	3	11	8	171	1	41	121	74	13	2	21	0	14	4	14	66	46	19	1	0	1	16	8	16	10	5
2987	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Thermoplasmata;class;Methanomassiliicoccales;order;	Methanomassiliicoccales	order	5	0	2	7	7	146	7	15	27	17	24	170	17	15	21	50	2	3	20	5	70	50	3	11	8	171	1	41	121	74	13	2	21	0	14	4	14	66	46	19	1	0	1	16	8	16	10	5
2988	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Thermoplasmata;class;Methanomassiliicoccales;order;Methanomassiliicoccaceae;family;	Methanomassiliicoccaceae	family	5	0	2	7	7	146	7	15	27	17	24	170	17	15	21	50	2	3	20	5	70	50	3	11	8	171	1	41	121	74	13	2	21	0	14	4	14	66	46	19	1	0	1	16	8	16	10	5
2989	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Thermoplasmata;class;Methanomassiliicoccales;order;Methanomassiliicoccaceae;family;Methanomassiliicoccus;genus;	Methanomassiliicoccus	genus	5	0	2	7	7	146	7	15	27	17	24	170	17	15	21	50	2	3	20	5	70	50	3	11	8	171	1	41	121	74	13	2	21	0	14	4	14	66	46	19	1	0	1	16	8	16	10	5
2055	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanobacteria;class;	Methanobacteria	class	2	0	1	0	1	1	187	5	8	4	13	3	11	2	33	21	0	0	8	0	24	3	0	6	1	8	1	31	4	9	2	0	9	2	3	10	17	2	36	3	0	4	2	4	15	2	12	4
2056	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanobacteria;class;Methanobacteriales;order;	Methanobacteriales	order	2	0	1	0	1	1	187	5	8	4	13	3	11	2	33	21	0	0	8	0	24	3	0	6	1	8	1	31	4	9	2	0	9	2	3	10	17	2	36	3	0	4	2	4	15	2	12	4
2057	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanobacteria;class;Methanobacteriales;order;Methanobacteriaceae;family;	Methanobacteriaceae	family	2	0	1	0	1	1	187	5	8	4	13	3	11	2	33	21	0	0	8	0	24	3	0	6	1	8	1	31	4	9	2	0	9	2	3	10	17	2	36	3	0	4	2	4	15	2	12	4
2058	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanobacteria;class;Methanobacteriales;order;Methanobacteriaceae;family;Methanobacterium;genus;	Methanobacterium	genus	2	0	1	0	1	1	187	5	7	4	13	3	11	2	33	21	0	0	8	0	24	3	0	6	1	6	1	31	4	9	1	0	9	2	3	9	16	2	36	2	0	4	2	4	14	2	12	4
2061	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanobacteria;class;Methanobacteriales;order;Methanobacteriaceae;family;Methanothermobacter;genus;	Methanothermobacter	genus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0
-2011	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;unclassified_Euryarchaeota;;	unclassified_Euryarchaeota		1	1	5	1	0	0	0	0	0	0	1	3	7	1	0	1	0	0	4	1	0	0	0	0	0	8	0	5	2	0	2	2	1	0	7	0	0	0	1	0	0	0	0	8	7	0	0	6
2017	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Halobacteria;class;	Halobacteria	class	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	2	2	1	0	0	0	0	0	1	1	0
2985	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Halobacteria;class;Natrialbales;order;	Natrialbales	order	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	2	2	1	0	0	0	0	0	1	1	0
2986	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Halobacteria;class;Natrialbales;order;Natrialbaceae;family;	Natrialbaceae	family	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	2	2	1	0	0	0	0	0	1	1	0
2050	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Halobacteria;class;Natrialbales;order;Natrialbaceae;family;Natronococcus;genus;	Natronococcus	genus	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	2	2	1	0	0	0	0	0	1	1	0
2964	Root;rootrank;Archaea;domain;Woesearchaeota;phylum;	Woesearchaeota	phylum	17	3	19	3	5	33	133	10	17	22	38	3	7	9	27	30	6	2	37	2	80	33	16	2	6	106	9	5	22	307	3	11	22	9	23	1605	305	84	527	135	16	15	25	7	55	6	309	15
2965	Root;rootrank;Archaea;domain;Woesearchaeota;phylum;Woesearchaeota Incertae Sedis AR15;genus;	Woesearchaeota Incertae Sedis AR15	genus	2	0	0	0	0	0	3	1	0	0	2	0	1	0	2	2	0	0	4	1	1	0	0	1	0	6	1	0	0	4	1	0	0	0	3	29	7	1	23	4	2	0	0	0	2	3	9	1
2968	Root;rootrank;Archaea;domain;Woesearchaeota;phylum;Woesearchaeota Incertae Sedis AR18;genus;	Woesearchaeota Incertae Sedis AR18	genus	2	0	1	0	1	0	28	0	0	1	1	0	0	0	5	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	2	0	0	0	9	0	6	1	0	0	0	0	6	0	3	0
-2965	Root;rootrank;Archaea;domain;Woesearchaeota;phylum;unclassified_Woesearchaeota;;	unclassified_Woesearchaeota		13	3	18	2	3	31	75	5	11	21	21	2	4	9	19	21	5	2	30	1	72	13	13	1	4	60	4	2	19	280	2	11	12	3	17	170	94	59	489	129	8	13	25	6	39	2	287	10
2966	Root;rootrank;Archaea;domain;Woesearchaeota;phylum;Woesearchaeota Incertae Sedis AR16;genus;	Woesearchaeota Incertae Sedis AR16	genus	0	0	0	1	1	2	26	3	6	0	8	1	2	0	1	7	0	0	3	0	6	20	2	0	2	40	3	3	1	23	0	0	8	6	3	1404	195	22	9	1	5	2	0	1	3	1	9	4
2967	Root;rootrank;Archaea;domain;Woesearchaeota;phylum;Woesearchaeota Incertae Sedis AR17;genus;	Woesearchaeota Incertae Sedis AR17	genus	0	0	0	0	0	0	1	1	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	5	0	1	0
1967	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;	Crenarchaeota	phylum	5	5	14	5	10	6	5	1	3	4	0	3	9	1	4	5	0	3	2	3	4	4	8	5	2	7	5	20	4	4	4	3	10	1	6	8	6	10	8	1	4	4	0	6	24	1	7	7
1968	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;	Thermoprotei	class	5	5	14	5	10	6	5	1	3	4	0	3	9	1	4	5	0	3	2	3	4	4	8	5	2	7	5	20	4	4	4	3	10	1	6	8	6	10	8	1	4	4	0	6	24	1	7	7
1992	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;Sulfolobales;order;	Sulfolobales	order	4	2	4	2	3	4	1	1	0	4	0	1	1	1	2	2	0	2	0	0	2	2	4	0	1	5	3	2	1	4	2	1	8	0	2	5	2	4	3	1	4	3	0	1	4	1	5	2
1993	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;Sulfolobales;order;Sulfolobaceae;family;	Sulfolobaceae	family	4	2	4	2	3	4	1	1	0	4	0	1	1	1	2	2	0	2	0	0	2	2	4	0	1	5	3	2	1	4	2	1	8	0	2	5	2	4	3	1	4	3	0	1	4	1	5	2
4423	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;Sulfolobales;order;Sulfolobaceae;family;Saccharolobus;genus;	Saccharolobus	genus	4	2	4	2	3	4	1	1	0	4	0	1	1	1	2	2	0	2	0	0	2	2	4	0	1	5	3	2	1	4	2	1	8	0	2	5	2	4	3	1	4	3	0	1	4	1	5	2
-1969	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;unclassified_Thermoprotei;;	unclassified_Thermoprotei		1	3	10	2	5	0	2	0	3	0	0	2	7	0	2	3	0	0	1	1	2	0	2	4	1	1	1	14	2	0	2	2	1	1	4	1	3	5	4	0	0	0	0	5	20	0	2	4
1974	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;Desulfurococcales;order;	Desulfurococcales	order	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	1	0	1	1	4	1	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1
-1975	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;Desulfurococcales;order;unclassified_Desulfurococcales;;	unclassified_Desulfurococcales		0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	1	0	1	1	4	1	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1
1975	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;Desulfurococcales;order;Desulfurococcaceae;family;	Desulfurococcaceae	family	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1976	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;Desulfurococcales;order;Desulfurococcaceae;family;unclassified_Desulfurococcaceae;;	unclassified_Desulfurococcaceae		0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;Fervidicoccales;order;	Fervidicoccales	order	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
1990	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;Fervidicoccales;order;Fervidicoccaceae;family;	Fervidicoccaceae	family	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
1991	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;Fervidicoccales;order;Fervidicoccaceae;family;Fervidicoccus;genus;	Fervidicoccus	genus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
2001	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;Thermoproteales;order;	Thermoproteales	order	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;Thermoproteales;order;Thermoproteaceae;family;	Thermoproteaceae	family	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;Thermoproteales;order;Thermoproteaceae;family;Pyrobaculum;genus;	Pyrobaculum	genus	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;Thermoproteales;order;Thermofilaceae;family;	Thermofilaceae	family	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;Thermoproteales;order;Thermofilaceae;family;Thermofilum;genus;	Thermofilum	genus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2002	Root;rootrank;Archaea;domain;Crenarchaeota;phylum;Thermoprotei;class;Thermoproteales;order;unclassified_Thermoproteales;;	unclassified_Thermoproteales		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2134	Root;rootrank;Archaea;domain;Thaumarchaeota;phylum;	Thaumarchaeota	phylum	1	0	2	3	1	2	1	1	2	0	1	0	1	0	0	2	0	0	1	0	3	1	1	1	0	0	2	0	2	1	1	0	0	0	1	2	0	1	5	2	1	0	0	0	0	0	0	1
2796	Root;rootrank;Archaea;domain;Thaumarchaeota;phylum;Nitrososphaerales;order;	Nitrososphaerales	order	1	0	2	3	1	2	1	1	2	0	1	0	1	0	0	2	0	0	1	0	3	1	1	1	0	0	2	0	2	1	1	0	0	0	1	2	0	1	5	2	1	0	0	0	0	0	0	1
2797	Root;rootrank;Archaea;domain;Thaumarchaeota;phylum;Nitrososphaerales;order;Nitrososphaeraceae;family;	Nitrososphaeraceae	family	1	0	2	3	1	2	1	1	2	0	1	0	1	0	0	2	0	0	1	0	3	1	1	1	0	0	2	0	2	1	1	0	0	0	1	2	0	1	5	2	1	0	0	0	0	0	0	1
2798	Root;rootrank;Archaea;domain;Thaumarchaeota;phylum;Nitrososphaerales;order;Nitrososphaeraceae;family;Nitrososphaera;genus;	Nitrososphaera	genus	1	0	2	3	1	2	1	1	2	0	1	0	1	0	0	2	0	0	1	0	3	1	1	1	0	0	2	0	2	1	1	0	0	0	1	2	0	1	5	2	1	0	0	0	0	0	0	1
2974	Root;rootrank;Archaea;domain;Diapherotrites;phylum;	Diapherotrites	phylum	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	2	0
2976	Root;rootrank;Archaea;domain;Diapherotrites;phylum;Diapherotrites Incertae Sedis AR10;genus;	Diapherotrites Incertae Sedis AR10	genus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0
-2975	Root;rootrank;Archaea;domain;Diapherotrites;phylum;unclassified_Diapherotrites;;	unclassified_Diapherotrites		0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
-1967	Root;rootrank;Archaea;domain;unclassified_Archaea;;	unclassified_Archaea		198	32	8	23	23	204	51	43	928	45	210	20	59	42	35	820	7	14	40	11	192	118	11	26	19	512	11	91	196	1668	51	16	1721	6	117	22	49	3180	279	32	12	167	11	43	35	409	60	77
-1	Root;rootrank;unclassified_Root;;	unclassified_Root		120	17	4	13	23	136	16	29	890	37	99	19	31	29	2	772	5	9	53	5	56	129	15	24	45	525	19	57	170	1441	30	11	2039	0	51	15	21	3473	234	34	12	139	13	17	9	499	51	43
1	Root;rootrank;Bacteria;domain;	Bacteria	domain	1863	3025	347	1117	1853	2509	1747	732	1001	327	4272	945	1335	1138	615	662	380	949	572	883	3686	1603	1130	1792	557	886	1340	1573	1463	2423	2504	600	2580	386	2509	2553	2038	1612	3778	1360	1447	1130	686	308	805	866	2385	1440
2195	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;	Acidobacteria	phylum	27	10	3	20	21	27	1	1	13	0	17	3	11	3	4	14	0	6	27	4	3	4	9	7	2	5	11	5	17	3	11	2	6	2	7	4	3	3	11	9	5	6	7	3	1	2	15	4
2196	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Holophagae;class;	Holophagae	class	23	7	2	17	15	24	0	0	9	0	15	2	7	2	3	13	0	3	27	1	1	1	4	4	1	4	9	2	14	0	9	1	3	2	2	0	0	0	6	4	2	3	6	2	0	0	8	3
2200	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Holophagae;class;Holophagales;order;	Holophagales	order	23	7	2	17	15	24	0	0	9	0	15	2	7	2	3	13	0	3	27	1	1	1	4	4	1	4	9	2	14	0	9	1	3	2	2	0	0	0	6	4	2	3	6	2	0	0	8	3
2201	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Holophagae;class;Holophagales;order;Holophagaceae;family;	Holophagaceae	family	23	7	2	17	15	24	0	0	9	0	15	2	7	2	3	13	0	3	27	1	1	1	4	4	1	4	9	2	14	0	9	1	3	2	2	0	0	0	6	4	2	3	6	2	0	0	8	3
2202	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Holophagae;class;Holophagales;order;Holophagaceae;family;Geothrix;genus;	Geothrix	genus	12	0	0	3	15	5	0	0	0	0	4	0	2	1	1	1	0	1	20	0	1	0	1	2	1	1	4	0	7	0	1	1	2	2	0	0	0	0	1	1	1	1	2	1	0	0	4	0
-2202	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Holophagae;class;Holophagales;order;Holophagaceae;family;unclassified_Holophagaceae;;	unclassified_Holophagaceae		11	7	2	14	0	13	0	0	9	0	10	2	5	1	2	11	0	2	6	1	0	1	3	1	0	3	3	2	7	0	8	0	1	0	2	0	0	0	4	3	1	2	4	1	0	0	4	3
2203	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Holophagae;class;Holophagales;order;Holophagaceae;family;Holophaga;genus;	Holophaga	genus	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2220	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp10;class;	Acidobacteria_Gp10	class	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2221	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp10;class;Gp10;genus;	Gp10	genus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3624	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Blastocatellia;class;	Blastocatellia	class	2	1	0	1	2	0	0	1	1	0	0	0	3	1	0	0	0	3	0	1	2	0	3	2	1	0	1	0	1	3	1	0	1	0	1	3	1	3	2	1	1	1	1	0	0	1	5	0
