study,name,Run,BioSample,sample,description,type,well,day
CHM+14,"Marcellus Shale Produced Water",SRR1184130,SAMN02441923,61312.3.16S_515F,"Well 3 Day 0 hydraulic fracturing fluid","hydraulic fracturing fluid",3,0
CHM+14,"Marcellus Shale Produced Water",SRR1184131,SAMN02441924,61812.7.16S_515F,"Well 3 Day 3.5 flowback fluid","flowback fluid",3,3.5
CHM+14,"Marcellus Shale Produced Water",SRR1184133,SAMN02441924,61812.7.16S_515F,"Well 3 Day 3.5 flowback fluid","flowback fluid",3,3.5
CHM+14,"Marcellus Shale Produced Water",SRR1184134,SAMN02441925,62712.18.16S_515F,"Well 3 Day 7 flowback fluid","flowback fluid",3,7
CHM+14,"Marcellus Shale Produced Water",SRR1184135,SAMN02441925,62712.18.16S_515F,"Well 3 Day 7 flowback fluid","flowback fluid",3,7
CHM+14,"Marcellus Shale Produced Water",SRR1184136,SAMN02441926,MA62712_18.16S_515F,"Well 3 Day 7 dup flowback fluid","flowback fluid",3,7
CHM+14,"Marcellus Shale Produced Water",SRR1184137,SAMN02441926,MA62712_18.16S_515F,"Well 3 Day 7 dup flowback fluid","flowback fluid",3,7
CHM+14,"Marcellus Shale Produced Water",SRR1184138,SAMN02441926,MA62712_18.16S_515F,"Well 3 Day 7 dup flowback fluid","flowback fluid",3,7
CHM+14,"Marcellus Shale Produced Water",SRR1184139,SAMN02441926,MA62712_18.16S_515F,"Well 3 Day 7 dup flowback fluid","flowback fluid",3,7
CHM+14,"Marcellus Shale Produced Water",SRR1184140,SAMN02441927,62712.15.16S_515F,"Well 3 Day 7.7 flowback fluid","flowback fluid",3,7.7
CHM+14,"Marcellus Shale Produced Water",SRR1184141,SAMN02441927,62712.15.16S_515F,"Well 3 Day 7.7 flowback fluid","flowback fluid",3,7.7
