"sample","percentage","nreads_clade","nreads_taxon","rank","taxid","name"
"500m",2.59,4251,3924,"S",1427364,"              Candidatus Thioglobus singularis"
"500m",4.5,6814,6814,"S",190721,"                Ralstonia insidiosa"
"500m",1.32,8036,1993,"S",1219,"                  Prochlorococcus marinus"
"500m",1.17,1777,1777,"-",146891,"                    Prochlorococcus marinus str. AS9601"
"500m",1.06,1612,1612,"-",167546,"                    Prochlorococcus marinus str. MIT 9301"
"500m",1.03,1553,1553,"S",1501268,"                  Prochlorococcus sp. MIT 0604"
"500m",3.83,5797,5797,"S",1410606,"              Candidatus Nitrosopelagicus brevis"
"500m",1.21,1826,1826,"S",1898749,"                Candidatus Nitrosomarinus catalina"
"770m",2.94,92582,11814,"-",717610,"                Vibrio harveyi group"
"770m",10.54,78262,42312,"S",680,"                  Vibrio campbellii"
"770m",7.82,31412,31412,"-",1224742,"                    Vibrio campbellii CAIM 519 = NBRC 15631"
"770m",1.13,4538,4538,"-",338187,"                    Vibrio campbellii ATCC BAA-1116"
"770m",10.36,41615,41615,"S",589873,"                Alteromonas australica"
"770m",2.41,9697,9697,"S",161398,"                Pseudoalteromonas phenolica"
"770m",28.19,113213,113213,"S",190721,"                Ralstonia insidiosa"
"770m",1.17,4682,4682,"-",335992,"                  Candidatus Pelagibacter ubique HTCC1062"
"770m",1.16,4673,4673,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"770m",2.22,8898,8898,"S",1410606,"              Candidatus Nitrosopelagicus brevis"
"1000m",10.07,496858,69159,"-",717610,"                Vibrio harveyi group"
"1000m",34.68,406168,238305,"S",680,"                  Vibrio campbellii"
"1000m",19.71,135434,135434,"-",1224742,"                    Vibrio campbellii CAIM 519 = NBRC 15631"
"1000m",4.72,32429,32429,"-",338187,"                    Vibrio campbellii ATCC BAA-1116"
"1000m",2.01,13807,13807,"S",161398,"                Pseudoalteromonas phenolica"
"1000m",1.19,8184,8184,"S",1410606,"              Candidatus Nitrosopelagicus brevis"
