"Type","Genome.name","Domain","Phylum","Order","Refseq.name","taxid"
Nif-A,"Rhodospirillum rubrum ATCC 11170",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodospirillum rubrum",1085
Nif-A,"Synechococcus sp. JA-3-3Ab",BACTERIAL,Cyanobacteria,None,"Synechococcus sp. JA-3-3Ab",321327
Nif-A,"Synechococcus sp. JA-2-3B'a(2-13)",BACTERIAL,Cyanobacteria,None,"Synechococcus sp. JA-2-3B'a(2-13)",321332
Nif-A,"Rhodopseudomonas palustris HaA2",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodopseudomonas palustris",1076
Nif-A,"Frankia sp. CcI3",BACTERIAL,Actinobacteria,Actinobacteria,"Frankia",1854
Nif-A,"Rhodopseudomonas palustris BisB18",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodopseudomonas palustris",1076
Nif-A,"Rhodopseudomonas palustris CGA009",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodopseudomonas palustris",1076
Nif-A,"Burkholderia xenovorans LB400",BACTERIAL,Proteobacteria,Betaproteobacteria,"Burkholderia",32008
Nif-A,"Rhodopseudomonas palustris BisB5",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodopseudomonas palustris",1076
Nif-A,"Trichodesmium erythraeum IMS101",BACTERIAL,Cyanobacteria,None,"Trichodesmium erythraeum",1206
Nif-A,"Rhodopseudomonas palustris BisA53",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodopseudomonas palustris",1076
Nif-A,"Magnetococcus marinus MC-1",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Magnetococcus marinus",1124597
Nif-A,"Pelobacter propionicus DSM 2379",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Pelobacter propionicus",29543
Nif-A,"Polaromonas naphthalenivorans CJ2",BACTERIAL,Proteobacteria,Betaproteobacteria,"Polaromonas naphthalenivorans",216465
Nif-A,"Halorhodospira halophila SL1",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Halorhodospira halophila",1053
Nif-A,"Rhodobacter sphaeroides ATCC 17029",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodobacter sphaeroides",1063
Nif-A,"Burkholderia vietnamiensis G4",BACTERIAL,Proteobacteria,Betaproteobacteria,"Burkholderia vietnamiensis",60552
Nif-A,"Rhodobacter sphaeroides ATCC 17025",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodobacter sphaeroides",1063
Nif-A,"Pseudomonas stutzeri A1501",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Pseudomonas stutzeri",316
Nif-A,"Geobacter uraniireducens Rf4",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Geobacter uraniireducens",351604
Nif-A,"Bradyrhizobium sp. BTAi1",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Bradyrhizobium sp. BTAi1",288000
Nif-A,"Sinorhizobium medicae WSM419",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Sinorhizobium medicae",110321
Nif-A,"Anaeromyxobacter sp. Fw109-5",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Anaeromyxobacter sp. Fw109-5",404589
Nif-A,"Xanthobacter autotrophicus Py2",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Xanthobacter autotrophicus",280
Nif-A,"Frankia sp. EAN1pec",BACTERIAL,Actinobacteria,Actinobacteria,"Frankia sp. EAN1pec",298653
Nif-A,"Heliobacterium modesticaldum Ice1",BACTERIAL,Firmicutes,Clostridia,"Heliobacterium modesticaldum",35701
Nif-A,"Methylobacterium sp. 4-46",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Methylobacterium sp. 4-46",426117
Nif-A,"Leptothrix cholodnii SP-6",BACTERIAL,Proteobacteria,Betaproteobacteria,"Leptothrix cholodnii",34029
Nif-A,"Cyanothece sp. ATCC 51142",BACTERIAL,Cyanobacteria,None,NA,NA
Nif-A,"Beijerinckia indica subsp. indica ATCC 9039",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Beijerinckia indica",533
Nif-A,"Burkholderia phymatum STM815",BACTERIAL,Proteobacteria,Betaproteobacteria,"Burkholderia",32008
Nif-A,"Methylacidiphilum infernorum V4",BACTERIAL,Verrucomicrobia,None,"Methylacidiphilum infernorum",511746
Nif-A,"Geobacter lovleyi SZ",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Geobacter lovleyi",313985
Nif-A,"Rhizobium etli CIAT 652",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhizobium etli",29449
Nif-A,"Rhizobium etli CIAT 652",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhizobium etli",29449
Nif-A,"Rhodopseudomonas palustris TIE-1",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodopseudomonas palustris",1076
Nif-A,"Anaeromyxobacter sp. K",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Anaeromyxobacter sp. K",447217
Nif-A,"Geobacter bemidjiensis Bem",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Geobacter bemidjiensis",225194
Nif-A,"Acidithiobacillus ferrooxidans ATCC 53993",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Acidithiobacillus ferrooxidans",920
Nif-A,"Gluconacetobacter diazotrophicus PA1 5",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Gluconacetobacter diazotrophicus",33996
Nif-A,"Rhizobium leguminosarum bv. trifolii WSM2304",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhizobium leguminosarum",384
Nif-A,"Rhodospirillum centenum SW",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodospirillum centenum",34018
Nif-A,"Candidatus Atelocyanobacterium thalassa isolate ALOHA",BACTERIAL,Cyanobacteria,None,"Candidatus Atelocyanobacterium thalassa",713887
Nif-A,"Methylocella silvestris BL2",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Methylocella silvestris",199596
Nif-A,"Cyanothece sp. PCC 8801",BACTERIAL,Cyanobacteria,None,NA,NA
Nif-A,"Cyanothece sp. PCC 7424",BACTERIAL,Cyanobacteria,None,NA,NA
Nif-A,"Desulfitobacterium hafniense DCB-2",BACTERIAL,Firmicutes,Clostridia,"Desulfitobacterium hafniense",49338
Nif-A,"Cyanothece sp. PCC 7425",BACTERIAL,Cyanobacteria,None,"Cyanothece sp. PCC 7425",395961
Nif-A,"Methylobacterium nodulans ORS 2060",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Methylobacterium nodulans",114616
Nif-A,"Rhodobacter sphaeroides KD131",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodobacter sphaeroides",1063
Nif-A,"Geobacter daltonii FRC-32",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Geobacter daltonii",1203471
Nif-A,"Azotobacter vinelandii DJ",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Azotobacter vinelandii",354
Nif-A,"Tolumonas auensis DSM 9187",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Tolumonas auensis",43948
Nif-A,"Rhizobium leguminosarum bv. trifolii WSM1325",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhizobium leguminosarum",384
Nif-A,"Dickeya paradisiaca Ech703",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Dickeya paradisiaca",69223
Nif-A,"Geobacter sp. M21",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Geobacter sp. M21",443144
Nif-A,"Klebsiella variicola At-22",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Klebsiella variicola",244366
Nif-A,"Cyanothece sp. PCC 8802",BACTERIAL,Cyanobacteria,None,NA,NA
Nif-A,"Candidatus Accumulibacter phosphatis clade IIA str. UW-1",BACTERIAL,Proteobacteria,Betaproteobacteria,"Candidatus Accumulibacter phosphatis",327160
Nif-A,"Zymomonas mobilis subsp. mobilis NCIMB 11163",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Zymomonas mobilis subsp. mobilis NCIMB 11163",622759
Nif-A,"Allochromatium vinosum DSM 180",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Allochromatium vinosum",1049
Nif-A,"Denitrovibrio acetiphilus DSM 12809",BACTERIAL,Deferribacteres,Deferribacteres,"Denitrovibrio acetiphilus",118000
Nif-A,"Sideroxydans lithotrophicus ES-1",BACTERIAL,Proteobacteria,Betaproteobacteria,"Sideroxydans lithotrophicus",63745
Nif-A,"Rhodobacter capsulatus SB 1003",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodobacter capsulatus",1061
Nif-A,"Burkholderia sp. CCGE1002",BACTERIAL,Proteobacteria,Betaproteobacteria,"Burkholderia",32008
Nif-A,"Arcobacter nitrofigilis DSM 7299",BACTERIAL,Proteobacteria,Epsilonproteobacteria,"Arcobacter nitrofigilis",28199
Nif-A,"Anabaena azollae (Nostoc azollae' 0708)",BACTERIAL,Cyanobacteria,NA,"Anabaena",1163
Nif-A,"Geobacter sulfurreducens KN400",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Geobacter sulfurreducens",35554
Nif-A,"Herbaspirillum seropedicae SmR1",BACTERIAL,Proteobacteria,Betaproteobacteria,"Herbaspirillum seropedicae",964
Nif-A,"Dickeya dadantii 3937",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Dickeya dadantii",204038
Nif-A,"Cyanothece sp. PCC 7822",BACTERIAL,Cyanobacteria,None,NA,NA
Nif-A,"Rhodomicrobium vannielii ATCC 17100",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodomicrobium vannielii",1069
Nif-A,"Calditerrivibrio nitroreducens DSM 19672",BACTERIAL,Deferribacteres,Deferribacteres,"Calditerrivibrio nitroreducens",477976
Nif-A,"Sulfuricurvum kujiense DSM 16994",BACTERIAL,Proteobacteria,Epsilonproteobacteria,"Sulfuricurvum kujiense",148813
Nif-A,"Rhodopseudomonas palustris DX-1",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodopseudomonas palustris",1076
Nif-A,"Pantoea sp. At-9b",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Pantoea sp. At-9b",592316
Nif-A,"Mesorhizobium ciceri biovar biserrulae WSM1271",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Mesorhizobium ciceri",39645
Nif-A,"Geobacter sp. M18",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Geobacter sp. M18",443143
Nif-A,"Syntrophobotulus glycolicus DSM 8271",BACTERIAL,Firmicutes,Clostridia,"Syntrophobotulus glycolicus",51197
Nif-A,"Pseudomonas stutzeri DSM 4166",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Pseudomonas stutzeri",316
Nif-A,"Methylomonas methanica MC09",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Methylomonas methanica",421
Nif-A,"Sinorhizobium meliloti BL225C",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Sinorhizobium meliloti",382
Nif-A,"Sinorhizobium meliloti AK83",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Sinorhizobium meliloti",382
Nif-A,"Frankia symbiont of Datisca glomerata",BACTERIAL,Actinobacteria,Actinobacteria,"Frankia",1854
Nif-A,"Zymomonas mobilis subsp. mobilis ATCC 10988",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Zymomonas mobilis subsp. mobilis ATCC 10988",555217
Nif-A,"Sinorhizobium meliloti SM11",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Sinorhizobium meliloti SM11",707241
Nif-A,"Mesorhizobium opportunistum WSM2075",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Mesorhizobium opportunistum",593909
Nif-A,"Zymomonas mobilis subsp. pomaceae ATCC 29192",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Zymomonas mobilis",542
Nif-A,"Acidithiobacillus ferrivorans SS3",BACTERIAL,Proteobacteria,Acidithiobacillia,"Acidithiobacillus ferrivorans",160808
Nif-A,"Rhodospirillum rubrum F11",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodospirillum rubrum",1085
Nif-A,"Paenibacillus terrae HPL-003",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus terrae",159743
Nif-A,"Desulfosporosinus orientis DSM 765",BACTERIAL,Firmicutes,Clostridia,"Desulfosporosinus orientis",1563
Nif-A,"Dechlorosoma suillum PS",BACTERIAL,Proteobacteria,Betaproteobacteria,"Dechlorosoma suillum",146939
Nif-A,"Klebsiella oxytoca KCTC 1686",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Klebsiella oxytoca",571
Nif-A,"Vibrio sp. EJY3",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Vibrio sp. EJY3",1116375
Nif-A,"Rahnella aquatilis HX2",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Rahnella aquatilis",34038
Nif-A,"Burkholderia sp. KJ006",BACTERIAL,Proteobacteria,Betaproteobacteria,"Burkholderia sp. KJ006",416344
Nif-A,"Sulfurospirillum barnesii SES-3",BACTERIAL,Proteobacteria,Epsilonproteobacteria,"Sulfurospirillum barnesii",44674
Nif-A,"Thiocystis violascens DSM 198",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Thiocystis violascens",73141
Nif-A,"Desulfosporosinus acidiphilus SJ4",BACTERIAL,Firmicutes,Clostridia,"Desulfosporosinus acidiphilus",885581
Nif-A,"Klebsiella oxytoca E718",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Klebsiella oxytoca",571
Nif-A,"Desulfosporosinus meridiei DSM 13257",BACTERIAL,Firmicutes,Clostridia,"Desulfosporosinus meridiei",79209
Nif-A,"Burkholderia phenoliruptrix BR3459a",BACTERIAL,Proteobacteria,Betaproteobacteria,"Burkholderia",32008
Nif-A,"Dehalobacter sp. DCA",BACTERIAL,Firmicutes,Clostridia,"Dehalobacter sp. DCA",1147129
Nif-A,"Dehalobacter sp. CF",BACTERIAL,Firmicutes,Clostridia,"Dehalobacter sp. CF",1131462
Nif-A,"Pleurocapsa sp. PCC 7327",BACTERIAL,Cyanobacteria,None,NA,NA
Nif-A,"Chroococcidiopsis thermalis PCC 7203",BACTERIAL,Cyanobacteria,None,"Chroococcidiopsis thermalis",54299
Nif-A,"Microcoleus sp. PCC 7113",BACTERIAL,Cyanobacteria,None,"Microcoleus sp. PCC 7113",1173027
Nif-A,"Halothece sp. PCC 7418",BACTERIAL,Cyanobacteria,None,"Halothece sp. PCC 7418",65093
Nif-A,"Sinorhizobium meliloti GR4",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Sinorhizobium meliloti",382
Nif-A,"Thioflavicoccus mobilis 8321",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Thioflavicoccus mobilis",80679
Nif-A,"Mesorhizobium australicum WSM2073",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Mesorhizobium australicum",536018
Nif-A,"Rhizobium tropici CIAT 899",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhizobium tropici",398
Nif-A,"Sinorhizobium meliloti 2011",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Sinorhizobium meliloti",382
Nif-A,"Azotobacter vinelandii CA",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Azotobacter vinelandii",354
Nif-A,"Enterobacter sp. R4-368",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Enterobacter sp. R4-368",1166130
Nif-A,"Rhizobium etli bv. mimosae str. Mim1",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhizobium etli",29449
Nif-A,"Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023",627343
Nif-A,"Paenibacillus polymyxa CR1",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus polymyxa",1406
Nif-A,"Marichromatium purpuratum 984",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Marichromatium purpuratum",37487
Nif-A,"Rhizobium leguminosarum bv. trifolii WSM1689",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhizobium leguminosarum",384
Nif-A,"Rhizobium leguminosarum bv. trifolii CB782",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhizobium leguminosarum",384
Nif-A,"Sulfurospirillum multivorans DSM 12446",BACTERIAL,Proteobacteria,Epsilonproteobacteria,"Sulfurospirillum multivorans",66821
Nif-A,"Zymomonas mobilis subsp. mobilis NRRL B-12526",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Zymomonas mobilis subsp. mobilis",120045
Nif-A,"Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023",627343
Nif-A,"Kosakonia sacchari SP1",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Kosakonia sacchari",1158459
Nif-A,"Paenibacillus sabinae T27",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus sabinae",365617
Nif-A,"Klebsiella oxytoca HKOPL1",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Klebsiella oxytoca",571
Nif-A,"Leptospirillum ferriphilum YSK",BACTERIAL,Nitrospirae,Nitrospira,"Leptospirillum ferriphilum",178606
Nif-A,"Pectobacterium atrosepticum",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Pectobacterium atrosepticum",29471
Nif-A,"Azospirillum brasilense",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Azospirillum brasilense",192
Nif-A,"Rhizobium etli bv. mimosae str. IE4771",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhizobium etli",29449
Nif-A,"Klebsiella oxytoca KONIH1",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Klebsiella oxytoca",571
Nif-A,"Klebsiella pneumoniae subsp. pneumoniae KP5-1",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Klebsiella pneumoniae subsp. pneumoniae",72407
Nif-A,"Klebsiella oxytoca",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Klebsiella oxytoca",571
Nif-A,"Pectobacterium atrosepticum",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Pectobacterium atrosepticum",29471
Nif-A,"Sinorhizobium meliloti",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Sinorhizobium meliloti",382
Nif-A,"Paenibacillus durus",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus durus",44251
Nif-A,"Paenibacillus sp. FSL H7-0357",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus sp. FSL H7-0357",1536774
Nif-A,"Paenibacillus sp. FSL P4-0081",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus sp. FSL P4-0081",1536769
Nif-A,"Paenibacillus sp. FSL R5-0912",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus sp. FSL R5-0912",1536771
Nif-A,"Paenibacillus sp. FSL R7-0273",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus sp. FSL R7-0273",1536772
Nif-A,"Paenibacillus sp. FSL R7-0331",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus sp. FSL R7-0331",1536773
Nif-A,"Paenibacillus borealis",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus borealis",160799
Nif-A,"Paenibacillus stellifer",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus stellifer",169760
Nif-A,"Paenibacillus graminis",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus graminis",189425
Nif-A,"Paenibacillus odorifer",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus odorifer",189426
Nif-A,"Cedecea neteri",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Cedecea neteri",158822
Nif-A,"Klebsiella pneumoniae subsp. pneumoniae",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Klebsiella pneumoniae subsp. pneumoniae",72407
Nif-A,"Klebsiella variicola",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Klebsiella variicola",244366
Nif-A,"Rhizobium etli bv. phaseoli str. IE4803",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhizobium etli",29449
Nif-A,"Rhizobium etli bv. phaseoli str. IE4803",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhizobium etli",29449
Nif-A,"Rhizobium gallicum bv. gallicum R602",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhizobium gallicum",56730
Nif-A,"Geobacter pickeringii",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Geobacter pickeringii",345632
Nif-A,"Azotobacter chroococcum NCIMB 8003",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Azotobacter chroococcum",353
Nif-A,"Paenibacillus polymyxa",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus polymyxa",1406
Nif-A,"Raoultella ornithinolytica",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Raoultella ornithinolytica",54291
Nif-A,"Sphingomonas sp. WHSC-8",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Sphingomonas",13687
Nif-A,"Gynuella sunshinyii YC6258",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Gynuella sunshinyii",1445505
Nif-A,"Calothrix sp. 336/3",BACTERIAL,Cyanobacteria,None,"Calothrix sp. 336/3",1337936
Nif-A,"Paenibacillus durus ATCC 35681",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus durus",44251
Nif-A,"Sedimenticola sp. SIP-G1",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Sedimenticola",349742
Nif-A,"Kluyvera intermedia",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Kluyvera intermedia",61648
Nif-A,"Klebsiella oxytoca",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Klebsiella oxytoca",571
Nif-A,"Herbaspirillum seropedicae",BACTERIAL,Proteobacteria,Betaproteobacteria,"Herbaspirillum seropedicae",964
Nif-A,"Azoarcus sp. CIB",BACTERIAL,Proteobacteria,Betaproteobacteria,"Azoarcus sp. CIB",198107
Nif-A,"Paenibacillus peoriae",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus peoriae",59893
