"study name (a)","database (b)","type (c)","sample name (d)","sample description (e)","ID (f)","available reads (g)","used reads (h)","cleaned reads (i)","non-rRNA reads (j)","average length (k)","subsampled reads (l)","coding reads (m)","average length (n)","subsampled reads (o)","average protein length (p)","subsampled proteins (q)"
HOT_ALOHA,SRA,MT,125m,H179_125m_cDNA,SRX002158,115067,115067,94313,53633,107.163,467,68936,103.89,481,34.544,1447
HOT_ALOHA,SRA,MT,500m,H179_500m_cDNA,SRX002160,122250,122250,100454,60712,105.833,472,73974,103.358,484,34.333,1456
Menez_Gwen,SRA,MG,WdCr-f2,"Woody Crack front 2",ERX1158314,23679001,451113,418823,,230.166,217,409413,209.105,239,69.644,718
Menez_Gwen,SRA,MG,Wd-10L,"Woody (10 cm left)",ERX1158315,14648694,448074,406600,,241.425,207,392584,214.267,233,71.345,701
Menez_Gwen,SRA,MG,Wd-40UP,"Woody (40 cm above)",ERX1158316,19243665,450790,402358,,240.897,208,391180,218.263,229,72.686,688
Mono_Lake,SRA,MT,10m,"10 m sample A",SRX1527166,10679825,1814431,523182,383232,148.682,336,413489,138.705,360,46.178,1083
Mono_Lake,SRA,MT,15m,"15 m sample A",SRX1527805,12788624,1672133,580674,408360,148.346,337,469277,138.299,362,46.045,1086
Mono_Lake,SRA,MT,18m,"18 m sample A",SRX1527807,14775443,1466274,658650,526601,148.364,337,566488,139.231,359,46.364,1078
Mono_Lake,SRA,MT,25m,"25 m sample A",SRX1527809,22029553,1666423,579153,413329,148.985,336,479934,139.218,359,46.353,1079
Mono_Lake,SRA,MT,31m,"31 m sample A",SRX1527811,16008216,1598676,571974,423814,148.107,338,483735,138.646,361,46.165,1083
Mud_Volcano,SRA,MG,3cm,"C317 metagenome",SRX111280,495960,495960,373338,,346.215,144,384622,308.11,162,102.552,488
Mud_Volcano,SRA,MG,13cm,"C313 metagenome",SRX111279,488597,488597,445604,,327.995,152,442617,300.419,166,99.998,500
Mud_Volcano,SRA,MG,23cm,"C307 metagenome",SRX111278,335045,335045,282848,,238.144,210,259738,232.875,215,77.471,645
Mud_Volcano,SRA,MG,31cm,"C303 metagenome",SRX111277,511350,511350,418456,,359.064,139,428127,313.364,160,104.314,479
Organic_Lake,SRA,MG,1.7m,GS374SM-4F-01-760,SRX024781,536138,536138,357451,,506.536,99,378891,410.754,122,136.477,366
Organic_Lake,SRA,MG,4.2m,GS375SM-4F-01-754,SRX024782,535242,535242,397822,,516.567,97,421851,419.523,119,139.447,359
Organic_Lake,SRA,MG,5.7m,GS376SM-4F-01-773,SRX024783,549620,549620,418645,,518.45,96,446371,422.993,118,140.704,355
Organic_Lake,SRA,MG,6.5m,GS377SM-4F-01-688,SRX024784,529793,529793,300916,,545.039,92,330749,390.079,128,129.404,386
Organic_Lake,SRA,MG,6.7m,GS378SM-4F-01-765,SRX024843,623785,623785,477882,,510.132,98,518641,415.785,120,138.342,361
Serpentinite_Springs,MGRAST,MG,LostCity,"Lost City (reads)",4461585.3,46360,46360,43167,,779.025,64,54278,558.287,90,186.008,269
Serpentinite_Springs,MGRAST,MG,WHC2B,"WHC2B sff",4460690.3,118348,118348,72767,,514.062,97,81270,410.893,122,136.654,366
Serpentinite_Springs,MGRAST,MG,TLE,"TLE sff",4460689.3,135538,135538,37914,,542.5,92,37402,362.271,138,120.321,416
Shimokita_Peninsula,GenBank,MG,0.8m,1H-1,"BARS01000001.1 - BARS01060478.1",60478,60478,,,807.313,62,73903,604.921,83,201.6,248
Shimokita_Peninsula,GenBank,MG,5.1m,1H-4,"BART01000001.1 - BART01044241.1",44241,44241,,,772.536,65,59764,551.443,91,183.772,272
Shimokita_Peninsula,GenBank,MG,18.6m,3H-2,"BARU01000001.1 - BARU01051978.1",51978,51978,,,766.737,65,64559,546.584,91,182.157,274
Shimokita_Peninsula,GenBank,MG,48.5m,6H-3,"BARV01000001.1 - BARV01048200.1",48200,48200,,,768.558,65,59236,558.283,90,186.059,269
Shimokita_Peninsula,GenBank,MG,107.0m,12H-4,"BARW01000001.1 - BARW01045500.1",45500,45500,,,772.536,65,56153,543.131,92,181.007,276
Yellowstone_Park,IMG,MG,Ar-red,"Archaeal: Sites 01, 02, 03, 19, 04, 18","2022920009,2022920014,2014031003,2022920017,2022920008,2022920019",61051,61051,,,1303.314,38,97232,702.889,71,169.205,296
Yellowstone_Park,IMG,MG,Aq-red,"Aquificales-reducing: Sites 09, 10, 12","2022920010,2022920015,2022920011",20768,20768,,,1365.386,37,33187,744.414,67,176.443,283
Yellowstone_Park,IMG,MG,Aq,"Aquificales: Sites 14, 11, 13","2022920007,2022920012,2022920006",33595,33595,,,1221.325,41,48920,736.994,68,173.081,289
Yellowstone_Park,IMG,MG,Ph-red,"Phototroph-reducing: Sites 05, 20","2022920003,2022920020",71708,71708,,,888.486,56,91534,630.98,79,159.689,313
Yellowstone_Park,IMG,MG,Ph,"Phototroph: Sites 06, 07, 15, 16","2022920004,2022920013,2022920016,2022920018",134761,134761,,,886.495,56,172849,628.479,80,160.78,311
