Name,Run,LibraryName,BioSample,SampleName,Subject,Site,Treatment
"Body Sites",SRR16023260,S1CS_126_L001_R1,SAMN21555571,S1CS,C,"Skin of forearm",Heat
"Body Sites",SRR16023299,S1DF_54_L001_R1,SAMN21555609,S1DF,D,feces,Formaldehyde
"Body Sites",SRR16023293,S1DN_11_L001_R1,SAMN21555607,S1DN,D,"Nasal cavity",Formaldehyde
"Body Sites",SRR16023287,S1DO_128_L001_R1,SAMN21555603,S1DO,D,"Oral cavity",Formaldehyde
"Body Sites",SRR16023271,S1DS_5_L001_R1,SAMN21555605,S1DS,D,"Skin of forearm",Formaldehyde
"Body Sites",SRR16023239,S1EF_74_L001_R1,SAMN21555633,S1EF,E,feces,No_treatment
"Body Sites",SRR16023245,S1EN_7_L001_R1,SAMN21555631,S1EN,E,"Nasal cavity",No_treatment
"Body Sites",SRR16023278,S1EO_23_L001_R1,SAMN21555627,S1EO,E,"Oral cavity",No_treatment
"Body Sites",SRR16023270,S1ES_103_L001_R1,SAMN21555629,S1ES,E,"Skin of forearm",No_treatment
"Body Sites",SRR16023248,S2AF_98_L001_R1,SAMN21555528,S2AF,A,feces,Trizol
"Body Sites",SRR16023250,S2AN_30_L001_R1,SAMN21555526,S2AN,A,"Nasal cavity",Trizol
"Body Sites",SRR16023323,S2AO_29_L001_R1,SAMN21555522,S2AO,A,"Oral cavity",Trizol
"Body Sites",SRR16023342,S2AS_22_L001_R1,SAMN21555524,S2AS,A,"Skin of forearm",Trizol
"Body Sites",SRR16023235,S2BF_16_L001_R1,SAMN21555552,S2BF,B,feces,Heat
"Body Sites",SRR16023253,S2BN_1_L001_R1,SAMN21555550,S2BN,B,"Nasal cavity",Heat
"Body Sites",SRR16023230,S2BO_119_L001_R1,SAMN21555546,S2BO,B,"Oral cavity",Heat
"Body Sites",SRR16023304,S2BS_97_L001_R1,SAMN21555548,S2BS,B,"Skin of forearm",Heat
"Body Sites",SRR16023289,S2CF_39_L001_R1,SAMN21555576,S2CF,C,feces,Formaldehyde
"Body Sites",SRR16023252,S2CN_117_L001_R1,SAMN21555574,S2CN,C,"Nasal cavity",Formaldehyde
"Body Sites",SRR16023352,S2CO_18_L001_R1,SAMN21555570,S2CO,C,"Oral cavity",Formaldehyde
"Body Sites",SRR16023347,S2CS_122_L001_R1,SAMN21555572,S2CS,C,"Skin of forearm",Formaldehyde
"Body Sites",SRR16023227,S2DF_94_L001_R1,SAMN21555610,S2DF,D,feces,No_treatment
"Body Sites",SRR16023340,S2DN_60_L001_R1,SAMN21555608,S2DN,D,"Nasal cavity",No_treatment
"Body Sites",SRR16023343,S2DO_81_L001_R1,SAMN21555604,S2DO,D,"Oral cavity",No_treatment
"Body Sites",SRR16023257,S2DS_35_L001_R1,SAMN21555606,S2DS,D,"Skin of forearm",No_treatment
"Body Sites",SRR16023306,S2EF_48_L001_R1,SAMN21555634,S2EF,E,feces,Psoralen
"Body Sites",SRR16023333,S2EN_38_L001_R1,SAMN21555632,S2EN,E,"Nasal cavity",Psoralen
"Body Sites",SRR16023324,S2EO_80_L001_R1,SAMN21555628,S2EO,E,"Oral cavity",Psoralen
"Body Sites",SRR16023226,S2ES_46_L001_R1,SAMN21555630,S2ES,E,"Skin of forearm",Psoralen
"Body Sites",SRR16023327,S3AF_58_L001_R1,SAMN21555529,S3AF,A,feces,Formaldehyde
"Body Sites",SRR16023315,S3AN_15_L001_R1,SAMN21555537,S3AN,A,"Nasal cavity",Formaldehyde
"Body Sites",SRR16023322,S3AO_79_L001_R1,SAMN21555533,S3AO,A,"Oral cavity",Formaldehyde
"Body Sites",SRR16023332,S3AS_12_L001_R1,SAMN21555535,S3AS,A,"Skin of forearm",Formaldehyde
"Body Sites",SRR16023274,S3BF_10_L001_R1,SAMN21555553,S3BF,B,feces,Formaldehyde
"Body Sites",SRR16023354,S3BN_36_L001_R1,SAMN21555561,S3BN,B,"Nasal cavity",Formaldehyde
"Body Sites",SRR16023331,S3BO_114_L001_R1,SAMN21555557,S3BO,B,"Oral cavity",Formaldehyde
"Body Sites",SRR16023353,S3BS_49_L001_R1,SAMN21555559,S3BS,B,"Skin of forearm",Formaldehyde
"Body Sites",SRR16023329,S3CF_47_L001_R1,SAMN21555577,S3CF,C,feces,No_treatment
"Body Sites",SRR16023344,S3CN_55_L001_R1,SAMN21555585,S3CN,C,"Nasal cavity",No_treatment
"Body Sites",SRR16023305,S3CO_102_L001_R1,SAMN21555581,S3CO,C,"Oral cavity",No_treatment
"Body Sites",SRR16023325,S3CS_108_L001_R1,SAMN21555583,S3CS,C,"Skin of forearm",No_treatment
"Body Sites",SRR16023228,S3DF_65_L001_R1,SAMN21555611,S3DF,D,feces,Psoralen
"Body Sites",SRR16023318,S3DN_90_L001_R1,SAMN21555619,S3DN,D,"Nasal cavity",Psoralen
"Body Sites",SRR16023268,S3DO_61_L001_R1,SAMN21555615,S3DO,D,"Oral cavity",Psoralen
"Body Sites",SRR16023298,S3DS_53_L001_R1,SAMN21555617,S3DS,D,"Skin of forearm",Psoralen
"Body Sites",SRR16023321,S3EF_20_L001_R1,SAMN21555635,S3EF,E,feces,Ethanol
"Body Sites",SRR16023231,S3EN_88_L001_R1,SAMN21555643,S3EN,E,"Nasal cavity",Ethanol
"Body Sites",SRR16023243,S3EO_66_L001_R1,SAMN21555639,S3EO,E,"Oral cavity",Ethanol
"Body Sites",SRR16023251,S3ES_67_L001_R1,SAMN21555641,S3ES,E,"Skin of forearm",Ethanol
"Body Sites",SRR16023240,S4AF_75_L001_R1,SAMN21555530,S4AF,A,feces,Heat
"Body Sites",SRR16023313,S4AN_121_L001_R1,SAMN21555538,S4AN,A,"Nasal cavity",Heat
"Body Sites",SRR16023303,S4AO_130_L001_R1,SAMN21555534,S4AO,A,"Oral cavity",Heat
"Body Sites",SRR16023312,S4AS_129_L001_R1,SAMN21555536,S4AS,A,"Skin of forearm",Heat
"Body Sites",SRR16023300,S4BF_96_L001_R1,SAMN21555554,S4BF,B,feces,No_treatment
"Body Sites",SRR16023277,S4BN_95_L001_R1,SAMN21555562,S4BN,B,"Nasal cavity",No_treatment
"Body Sites",SRR16023326,S4BO_110_L001_R1,SAMN21555558,S4BO,B,"Oral cavity",No_treatment
"Body Sites",SRR16023266,S4BS_99_L001_R1,SAMN21555560,S4BS,B,"Skin of forearm",No_treatment
"Body Sites",SRR16023338,S4CF_37_L001_R1,SAMN21555578,S4CF,C,feces,Psoralen
"Body Sites",SRR16023265,S4CN_27_L001_R1,SAMN21555586,S4CN,C,"Nasal cavity",Psoralen
"Body Sites",SRR16023355,S4CO_125_L001_R1,SAMN21555582,S4CO,C,"Oral cavity",Psoralen
"Body Sites",SRR16023275,S4CS_107_L001_R1,SAMN21555584,S4CS,C,"Skin of forearm",Psoralen
"Body Sites",SRR16023244,S4DF_73_L001_R1,SAMN21555612,S4DF,D,feces,Ethanol
"Body Sites",SRR16023301,S4DN_63_L001_R1,SAMN21555620,S4DN,D,"Nasal cavity",Ethanol
"Body Sites",SRR16023232,S4DO_127_L001_R1,SAMN21555616,S4DO,D,"Oral cavity",Ethanol
"Body Sites",SRR16023311,S4DS_123_L001_R1,SAMN21555618,S4DS,D,"Skin of forearm",Ethanol
"Body Sites",SRR16023339,S4EF_26_L001_R1,SAMN21555636,S4EF,E,feces,Trizol
"Body Sites",SRR16023307,S4EN_4_L001_R1,SAMN21555644,S4EN,E,"Nasal cavity",Trizol
"Body Sites",SRR16023272,S4EO_78_L001_R1,SAMN21555640,S4EO,E,"Oral cavity",Trizol
"Body Sites",SRR16023296,S4ES_52_L001_R1,SAMN21555642,S4ES,E,"Skin of forearm",Trizol
"Body Sites",SRR16023264,S5AF_89_L001_R1,SAMN21555531,S5AF,A,feces,No_treatment
"Body Sites",SRR16023281,S5AN_118_L001_R1,SAMN21555543,S5AN,A,"Nasal cavity",No_treatment
"Body Sites",SRR16023302,S5AO_50_L001_R1,SAMN21555539,S5AO,A,"Oral cavity",No_treatment
"Body Sites",SRR16023261,S5AS_109_L001_R1,SAMN21555541,S5AS,A,"Skin of forearm",No_treatment
"Body Sites",SRR16023256,S5BF_21_L001_R1,SAMN21555555,S5BF,B,feces,Psoralen
"Body Sites",SRR16023330,S5BN_91_L001_R1,SAMN21555567,S5BN,B,"Nasal cavity",Psoralen
"Body Sites",SRR16023273,S5BO_69_L001_R1,SAMN21555563,S5BO,B,"Oral cavity",Psoralen
"Body Sites",SRR16023316,S5BS_17_L001_R1,SAMN21555565,S5BS,B,"Skin of forearm",Psoralen
"Body Sites",SRR16023242,S5CF_59_L001_R1,SAMN21555579,S5CF,C,feces,Ethanol
"Body Sites",SRR16023350,S5CN_113_L001_R1,SAMN21555591,S5CN,C,"Nasal cavity",Ethanol
"Body Sites",SRR16023282,S5CO_70_L001_R1,SAMN21555587,S5CO,C,"Oral cavity",Ethanol
"Body Sites",SRR16023276,S5CS_45_L001_R1,SAMN21555589,S5CS,C,"Skin of forearm",Ethanol
"Body Sites",SRR16023314,S5DF_106_L001_R1,SAMN21555613,S5DF,D,feces,Trizol
"Body Sites",SRR16023336,S5DN_43_L001_R1,SAMN21555625,S5DN,D,"Nasal cavity",Trizol
"Body Sites",SRR16023328,S5DO_85_L001_R1,SAMN21555621,S5DO,D,"Oral cavity",Trizol
"Body Sites",SRR16023335,S5DS_33_L001_R1,SAMN21555623,S5DS,D,"Skin of forearm",Trizol
"Body Sites",SRR16023349,S5EF_6_L001_R1,SAMN21555637,S5EF,E,feces,Heat
"Body Sites",SRR16023319,S5EN_51_L001_R1,SAMN21555649,S5EN,E,"Nasal cavity",Heat
"Body Sites",SRR16023283,S5EO_2_L001_R1,SAMN21555645,S5EO,E,"Oral cavity",Heat
"Body Sites",SRR16023233,S5ES_71_L001_R1,SAMN21555647,S5ES,E,"Skin of forearm",Heat
"Body Sites",SRR16023309,S6AF_24_L001_R1,SAMN21555532,S6AF,A,feces,Psoralen
"Body Sites",SRR16023317,S6AN_56_L001_R1,SAMN21555544,S6AN,A,"Nasal cavity",Psoralen
"Body Sites",SRR16023262,S6AO_62_L001_R1,SAMN21555540,S6AO,A,"Oral cavity",Psoralen
"Body Sites",SRR16023294,S6AS_93_L001_R1,SAMN21555542,S6AS,A,"Skin of forearm",Psoralen
"Body Sites",SRR16023263,S6BF_44_L001_R1,SAMN21555556,S6BF,B,feces,Ethanol
"Body Sites",SRR16023247,S6BN_57_L001_R1,SAMN21555568,S6BN,B,"Nasal cavity",Ethanol
"Body Sites",SRR16023351,S6BO_111_L001_R1,SAMN21555564,S6BO,B,"Oral cavity",Ethanol
"Body Sites",SRR16023288,S6BS_41_L001_R1,SAMN21555566,S6BS,B,"Skin of forearm",Ethanol
"Body Sites",SRR16023279,S6CF_28_L001_R1,SAMN21555580,S6CF,C,feces,Trizol
"Body Sites",SRR16023308,S6CN_104_L001_R1,SAMN21555592,S6CN,C,"Nasal cavity",Trizol
"Body Sites",SRR16023229,S6CO_82_L001_R1,SAMN21555588,S6CO,C,"Oral cavity",Trizol
"Body Sites",SRR16023237,S6CS_115_L001_R1,SAMN21555590,S6CS,C,"Skin of forearm",Trizol
"Body Sites",SRR16023286,S6DF_83_L001_R1,SAMN21555614,S6DF,D,feces,Heat
"Body Sites",SRR16023337,S6DN_34_L001_R1,SAMN21555626,S6DN,D,"Nasal cavity",Heat
"Body Sites",SRR16023255,S6DO_8_L001_R1,SAMN21555622,S6DO,D,"Oral cavity",Heat
"Body Sites",SRR16023236,S6DS_76_L001_R1,SAMN21555624,S6DS,D,"Skin of forearm",Heat
"Body Sites",SRR16023234,S6EF_13_L001_R1,SAMN21555638,S6EF,E,feces,Formaldehyde
"Body Sites",SRR16023310,S6EN_86_L001_R1,SAMN21555650,S6EN,E,"Nasal cavity",Formaldehyde
"Body Sites",SRR16023241,S6EO_72_L001_R1,SAMN21555646,S6EO,E,"Oral cavity",Formaldehyde
"Body Sites",SRR16023292,S6ES_112_L001_R1,SAMN21555648,S6ES,E,"Skin of forearm",Formaldehyde
