seed,LC,6H,12H,1D,2D,3D,5D,7D,14D,1M,2M
57,2.42,3.49,2.804,2.529,2.639,2.475,2.722,2.447,2.227,1.294,-1.231
58,1.624,2.42,2.008,1.706,1.761,1.596,1.843,1.624,1.404,0.937,-0.161
59,2.063,3.106,2.557,2.145,2.227,2.035,2.337,2.063,1.788,1.294,-0.051
60,2.145,3.078,2.557,2.227,2.31,2.145,2.42,2.145,1.925,1.322,-0.6
61,1.816,2.639,2.2,1.898,1.98,1.816,2.063,1.843,1.624,1.129,-0.243
62,2.502,3.682,3.051,2.612,2.694,2.475,2.831,2.529,2.2,1.651,-0.298
63,2.227,2.996,2.639,2.282,2.337,2.2,2.447,2.227,2.008,1.843,0.855
64,2.118,3.188,2.529,2.227,2.31,2.118,2.42,2.145,1.898,1.212,-0.133
65,1.267,2.173,1.651,1.349,1.431,1.267,1.514,1.294,1.075,0.663,-0.408
66,1.788,2.639,2.2,1.871,1.925,1.761,2.035,1.788,1.541,1.157,-0.765
67,2.09,3.133,2.584,2.2,2.255,2.063,2.392,2.118,1.816,1.376,0.004
68,2.667,3.957,3.325,2.776,2.859,2.612,3.024,2.694,2.31,2.008,0.059
69,1.349,2.035,1.733,1.404,1.431,1.294,1.541,1.349,1.129,1.02,0.608
70,1.486,2.31,1.843,1.569,1.624,1.486,1.706,1.486,1.294,0.773,-1.039
71,2.145,3.298,2.667,2.255,2.337,2.145,2.475,2.173,1.871,1.322,-0.216
72,1.624,2.667,1.98,1.733,1.816,1.651,1.898,1.651,1.431,0.635,-0.957
73,1.898,2.969,2.337,2.008,2.09,1.898,2.2,1.925,1.651,1.075,0.059
74,2.447,3.38,2.859,2.557,2.639,2.447,2.722,2.475,2.255,1.624,0.635
75,2.557,3.82,3.133,2.694,2.776,2.557,2.914,2.584,2.282,1.706,0.443
76,2.282,3.271,2.776,2.392,2.447,2.282,2.584,2.31,2.035,1.541,-0.573
77,1.267,1.953,1.624,1.322,1.376,1.239,1.459,1.267,1.075,0.965,0.553
78,2.09,3.161,2.529,2.2,2.282,2.09,2.392,2.118,1.871,1.129,-0.929
79,2.063,3.106,2.529,2.173,2.255,2.063,2.365,2.09,1.816,1.322,0.58
80,1.596,2.447,1.98,1.678,1.761,1.596,1.843,1.624,1.431,1.047,0.443
81,2.008,2.969,2.475,2.09,2.173,1.98,2.282,2.035,1.761,1.267,-0.106
82,1.843,2.886,2.337,1.953,2.008,1.816,2.145,1.871,1.596,1.075,-0.737
83,1.404,2.173,1.761,1.459,1.514,1.376,1.624,1.404,1.212,0.718,-0.655
84,2.063,2.996,2.529,2.145,2.2,2.035,2.337,2.09,1.816,1.541,0.498
85,1.678,2.557,2.063,1.761,1.816,1.651,1.925,1.678,1.459,0.91,-0.6
86,1.514,2.42,1.898,1.596,1.678,1.514,1.761,1.541,1.322,0.827,-0.875
87,1.212,1.898,1.541,1.294,1.322,1.212,1.404,1.239,1.047,0.745,-0.682
88,2.392,3.243,2.776,2.475,2.557,2.392,2.639,2.392,2.173,1.651,0.388
89,1.925,2.886,2.392,2.008,2.063,1.898,2.2,1.953,1.678,1.294,-0.271
90,1.459,2.09,1.816,1.514,1.569,1.431,1.651,1.486,1.294,1.239,1.075
91,2.09,3.133,2.639,2.145,2.2,2.008,2.365,2.09,1.761,1.486,-0.984
92,2.145,3.078,2.557,2.227,2.31,2.145,2.42,2.173,1.925,1.212,-1.039
93,2.008,3.106,2.502,2.118,2.2,2.008,2.337,2.035,1.761,1.129,-0.82
94,2.447,3.765,2.969,2.584,2.722,2.502,2.831,2.475,2.2,1.349,-0.271
95,1.871,2.886,2.365,1.953,2.035,1.843,2.145,1.871,1.596,1.294,0.663
96,1.678,2.749,2.09,1.788,1.898,1.706,1.98,1.706,1.486,0.855,-0.71
97,2.173,3.216,2.667,2.255,2.337,2.145,2.475,2.2,1.925,1.349,-0.408
98,1.843,2.749,2.2,1.925,2.008,1.843,2.09,1.843,1.651,1.075,-0.161
99,1.541,2.475,1.898,1.651,1.733,1.569,1.816,1.569,1.376,0.745,-0.929
100,2.667,4.176,3.271,2.831,2.941,2.694,3.078,2.722,2.392,1.486,-1.259
