"study","name","envirotype","lineage","mapperc","Q1.genus","Q1.Zc","Q4.genus","Q4.Zc"
CTS+17,"Santa Elena Ophiolite",Hyperalkaline,Bacteria,100,Acidovorax,-0.141494,Sulfuritortus,-0.152388
CTS+17,"Santa Elena Ophiolite",Hyperalkaline,Archaea,100,JASEEV01,-0.192474,Nitrosotenuis,-0.192641
KSR+21,"Voltri Massif",Hyperalkaline,Bacteria,100,JAAUTJ01,-0.146038,Silanimonas,-0.135239
PSB+21,"CROMO 2",Hyperalkaline,Bacteria,100,Dethiobacter,-0.176418,Serpentinimonas,-0.142183
NTB+21,"Samail Ophiolite Packers",Hyperalkaline,Bacteria,100,UBA7950,-0.188407,Meiothermus,-0.171418
NTB+21,"Samail Ophiolite Packers",Hyperalkaline,Archaea,100,Nitrosotenuis,-0.192641,Nitrososphaera,-0.170957
KLM+16,"Sarnia nZVI Injection",Groundwater,Bacteria,100,Macellibacteroides,-0.175197,JAUXWC01,-0.14296
WLJ+16,"Hetao Basin",Groundwater,Bacteria,100,Psychrobacter,-0.151222,Acinetobacter,-0.168641
WLJ+16,"Hetao Basin",Groundwater,Archaea,100,JAHFTW01,-0.139737,JACPJP01,-0.218979
ZDW+19,"Jianghan Plain",Groundwater,Bacteria,100,Sediminibacterium,-0.186219,Sediminibacterium,-0.186219
ZDW+19,"Jianghan Plain",Groundwater,Archaea,100,Methanoperedens,-0.193082,RBG-13-33-26,-0.206833
DJK+18,"Ohio Aquifers",Groundwater,Bacteria,100,Acinetobacter,-0.168641,Azonexus,-0.151131
DJK+18,"Ohio Aquifers",Groundwater,Archaea,100,UBA9640,-0.191569,GCA-2688775,-0.208759
SRM+19,"Rayong Province",Groundwater,Bacteria,100,Acinetobacter,-0.168641,Acinetobacter,-0.168641
APV+20,"Mezquital Valley",Groundwater,Bacteria,100,Aliarcobacter,-0.216706,Caldora,-0.159013
APV+20,"Mezquital Valley",Groundwater,Archaea,100,GCA-2688775,-0.208759,TA-20,-0.199676
YHK+20,"Hainich Critical Zone",Groundwater,Bacteria,100,UBA1546,-0.205869,C7867-001,-0.171428
ZCZ+21,"Po Plain",Groundwater,Bacteria,100,Sphingomonas,-0.131196,Pseudomonas_E,-0.14925
MGW+22,"New Zealand Aquifers",Groundwater,Bacteria,100,Ga0077554,-0.151152,Gp6-AA45,-0.131483
MGW+22,"New Zealand Aquifers",Groundwater,Archaea,100,Methanoperedens,-0.193082,TA-20,-0.199676
MCR+22,"Aquifer SE of Melbourne",Groundwater,Bacteria,100,Azospirillum,-0.136298,XYD2-FULL-41-16,-0.194531
MCR+22,"Aquifer SE of Melbourne",Groundwater,Archaea,100,Methanospirillum,-0.170015,Nitrosarchaeum,-0.199657
ZML+17,"Mai Po Wetland",Sediment,Bacteria,100,Caldora,-0.159013,Caldora,-0.159013
ZML+17,"Mai Po Wetland",Sediment,Archaea,100,JAJISJ01,-0.216492,M9B1D,-0.20535
BSPD17,"Baltic Sea Swedish Coast",Sediment,Bacteria,100,Sulfurimonas,-0.200025,Herbaspirillum,-0.152623
RKN+17,"Finnish Boreal Lakes",Sediment,Bacteria,100,Gallionella,-0.155818,RBG-13-51-36,-0.17301
RKN+17,"Finnish Boreal Lakes",Sediment,Archaea,100,Methanothrix,-0.162292,SM1-50,-0.186865
HDZ+19,"Honghu Lake",Sediment,Bacteria,100,Acinetobacter,-0.168641,Nanopelagicus,-0.187285
OHL+18_DNA,"Marine and Freshwater Sediments (DNA)",Sediment,Bacteria,100,Caldora,-0.159013,Caldora,-0.159013
OHL+18_DNA,"Marine and Freshwater Sediments (DNA)",Sediment,Archaea,100,RBG-16-57-9,-0.166947,UBA8941,-0.184874
WHLH21a,"Daya Bay",Sediment,Bacteria,100,Scalindua,-0.186962,Scalindua,-0.186962
RSS+18,"Lake Hazen, Nunavut",Sediment,Bacteria,100,Caldora,-0.159013,SCUD01,-0.132709
CLS+19,"Jinchuan River",Sediment,Bacteria,100,Cloacibacterium,-0.191773,Pirellula_B,-0.132315
CLS+19,"Jinchuan River",Sediment,Archaea,100,Methanothrix,-0.162292,Methanothrix,-0.162292
HSF+19,"Lake Neusiedl",Sediment,Bacteria,100,Escherichia,-0.15851,Fonsibacter,-0.229723
ZHZ+19,"Hydrocarbon Biodegradation",Sediment,Bacteria,100,UBA6092,-0.162153,UBA6092,-0.162153
ZHZ+19,"Hydrocarbon Biodegradation",Sediment,Archaea,100,SM1-50,-0.186865,SM1-50,-0.186865
LMBA21_2017,"Bay of Biscay (2017)",Sediment,Bacteria,100,Sulfurovum,-0.196908,Caldora,-0.159013
LMBA21_2017,"Bay of Biscay (2017)",Sediment,Archaea,100,Nitrosopumilus,-0.187338,Nitrosopumilus,-0.187338
HSF+22,"Aldabra Atoll",Sediment,Bacteria,100,Vreelandella,-0.14,Stutzerimonas,-0.144297
ZZLL21,"Maozhou River Hyporheic Zone",Sediment,Bacteria,100,Pseudomonas_E,-0.14925,Pseudomonas_E,-0.14925
WFB+21,"Estuarine Sediment Mesocosms",Sediment,Bacteria,100,Caldora,-0.159013,Caldora,-0.159013
HCW+22,"Hydrodynamic Experiments",Sediment,Bacteria,100,Acinetobacter,-0.168641,Streptococcus,-0.182275
WKG+22,"Cardinal Pond, Poland",Sediment,Bacteria,100,RBG-16-49-23,-0.198722,RBG-16-49-23,-0.198722
MLL+19,"Dabu Town, Hunan Province",Soil,Bacteria,100,UBA6092,-0.162153,SCQL01,-0.141324
MLL+19,"Dabu Town, Hunan Province",Soil,Archaea,100,UBA9642,-0.196488,TA-20,-0.199676
BMOB18,"Urban Wetland Soils",Soil,Bacteria,100,Sulfurovum,-0.196908,Thiobacillus,-0.147734
BMOB18,"Urban Wetland Soils",Soil,Archaea,100,Termiticorpusculum,-0.19441,Termiticorpusculum,-0.19441
WHLH21,"Tengger Desert Biocrusts",Soil,Bacteria,100,Microcoleus,-0.162957,Microvirga,-0.144525
CWC+20,"Paddy Soil Water Management",Soil,Bacteria,100,Sphingobium,-0.132443,Sphingobium,-0.132443
PSG+20,"Anaerobic Soil Disinfestation",Soil,Bacteria,100,Clostridium,-0.2073,Clostridium_B,-0.208039
PSG+20,"Anaerobic Soil Disinfestation",Soil,Archaea,100,Nitrososphaera,-0.170957,JAHFTW01,-0.139737
LJC+20,"East Asia Paddy Soil",Soil,Bacteria,100,Specibacter,-0.142281,Defluviilinea,-0.171879
DTJ+20,"Rice Rhizosphere",Soil,Bacteria,100,Marmoricola,-0.123664,Defluviilinea,-0.171879
RKSK22,"Georgia Salt Marshes",Soil,Bacteria,100,Thiodiazotropha,-0.144862,Caldora,-0.159013
RKSK22,"Georgia Salt Marshes",Soil,Archaea,100,SOKP01,-0.221313,Kmv02,-0.20355
DLS21_Bulk,"Paddy Soil Amendments 1 (Bulk)",Soil,Bacteria,100,CAINVV01,-0.180697,UBA1413,-0.168158
WKP+22,"Maize Intercropping, Poland",Soil,Bacteria,100,Mucilaginibacter,-0.179053,VBCG01,-0.141082
CKB+22,"Paddy Soil Amendments 2",Soil,Bacteria,100,Geomonas,-0.160215,Telluria,-0.137862
CKB+22,"Paddy Soil Amendments 2",Soil,Archaea,100,Methanosarcina,-0.183853,Termiticorpusculum,-0.19441
CLZ+22,"Soil-Water Interface",Soil,Bacteria,100,Anaeromyxobacter,-0.130962,Anaeromyxobacter,-0.130962
