"study","name","envirotype","lineage","nsamp","Eh7min","Eh7max","slope","MOE95","intercept","pearson.r"
RKN+17,"Finnish Boreal Lakes",Sediment,Bacteria,24,-225.86,-140.68,-0.131114,0.0386253,-0.186341,-0.832201
RKN+17,"Finnish Boreal Lakes",Sediment,Archaea,24,-225.86,-140.68,-0.0367423,0.0167374,-0.18222,-0.696487
HDZ+19,"Honghu Lake",Sediment,Bacteria,28,-381.23,160.96,0.0079667,0.00876266,-0.165947,0.34412
OHL+18_DNA,"Marine and Freshwater Sediments (DNA)",Sediment,Bacteria,33,-82.25,328.49,0.0122064,0.0050918,-0.156324,0.659838
OHL+18_DNA,"Marine and Freshwater Sediments (DNA)",Sediment,Archaea,23,-82.25,328.49,0.0169042,0.0114317,-0.192735,0.557221
WHLH21a,"Daya Bay",Sediment,Bacteria,20,-360,-74,-0.16898,0.11505,-0.19593,-0.588194
RSS+18,"Lake Hazen, Nunavut",Sediment,Bacteria,28,113.53,527.09,0.0191429,0.00734753,-0.158465,0.724229
CLS+19,"Jinchuan River",Sediment,Bacteria,24,7.82,259.82,0.0355471,0.0405577,-0.159923,0.361343
CLS+19,"Jinchuan River",Sediment,Archaea,21,7.82,259.82,0.01163,0.0414074,-0.179256,0.133655
HSF+19,"Lake Neusiedl",Sediment,Bacteria,21,-223.84,508.61,-0.0335216,0.00852215,-0.164601,-0.883773
ZHZ+19,"Hydrocarbon Biodegradation",Sediment,Bacteria,27,-418,-77,0.0205334,0.00809968,-0.15596,0.722234
ZHZ+19,"Hydrocarbon Biodegradation",Sediment,Archaea,27,-418,-77,-0.0203367,0.0109129,-0.185003,-0.608903
LMBA21_2017,"Bay of Biscay (2017)",Sediment,Bacteria,47,-204,476,0.0234572,0.00640351,-0.158366,0.739895
LMBA21_2017,"Bay of Biscay (2017)",Sediment,Archaea,18,-202,436,0.00640134,0.00452182,-0.191211,0.600135
HSF+22,"Aldabra Atoll",Sediment,Bacteria,120,-301.96,398.11,0.0143878,0.00694974,-0.155667,0.353098
ZZLL21,"Maozhou River Hyporheic Zone",Sediment,Bacteria,71,-71.3,256.75,0.0258492,0.0293942,-0.157391,0.206641
WFB+21,"Estuarine Sediment Mesocosms",Sediment,Bacteria,79,59,211,0.00596243,0.00322458,-0.153349,0.386916
HCW+22,"Hydrodynamic Experiments",Sediment,Bacteria,45,-211.59,-56.52,-0.00154037,0.0217871,-0.155447,-0.0217385
WKG+22,"Cardinal Pond, Poland",Sediment,Bacteria,40,158.18,486.37,-0.0014823,0.0311613,-0.16587,-0.0156196
MLL+19,"Dabu Town, Hunan Province",Soil,Bacteria,30,-374.58,300.25,0.0149322,0.0051909,-0.15322,0.744031
MLL+19,"Dabu Town, Hunan Province",Soil,Archaea,20,-374.58,259.34,-0.0218829,0.00910749,-0.18959,-0.76553
BMOB18,"Urban Wetland Soils",Soil,Bacteria,36,-339.79,-75.79,0.0342438,0.0239965,-0.16351,0.445321
BMOB18,"Urban Wetland Soils",Soil,Archaea,36,-339.79,-75.79,-0.0033019,0.0143227,-0.192702,-0.0800902
WHLH21,"Tengger Desert Biocrusts",Soil,Bacteria,32,398.81,451.74,0.138984,0.104684,-0.201884,0.443651
CWC+20,"Paddy Soil Water Management",Soil,Bacteria,84,-467.3,358.07,0.0153852,0.00559245,-0.146379,0.517239
PSG+20,"Anaerobic Soil Disinfestation",Soil,Bacteria,49,-265,343,0.0342442,0.0389714,-0.170573,0.249682
PSG+20,"Anaerobic Soil Disinfestation",Soil,Archaea,20,-265,343,0.0240352,0.0138415,-0.17339,0.651988
LJC+20,"East Asia Paddy Soil",Soil,Bacteria,33,-280.02,-107.66,-0.00935215,0.0494399,-0.144144,-0.0691257
DTJ+20,"Rice Rhizosphere",Soil,Bacteria,36,-158.03,-83.3,0.0256585,0.121985,-0.153674,0.0731137
RKSK22,"Georgia Salt Marshes",Soil,Bacteria,138,-428.66,108.28,0.0139221,0.00508218,-0.157478,0.421295
RKSK22,"Georgia Salt Marshes",Soil,Archaea,122,-428.66,108.28,0.0170426,0.00385445,-0.194954,0.624294
DLS21_Bulk,"Paddy Soil Amendments 1 (Bulk)",Soil,Bacteria,56,-17.49,255.75,-0.00139673,0.0217137,-0.155022,-0.0175471
WKP+22,"Maize Intercropping, Poland",Soil,Bacteria,30,394.07,554.72,-0.00344735,0.0280403,-0.143446,-0.0475388
CKB+22,"Paddy Soil Amendments 2",Soil,Bacteria,34,-166.67,316.3,0.0190435,0.00660606,-0.172642,0.720173
CKB+22,"Paddy Soil Amendments 2",Soil,Archaea,7,-164.53,-99.89,-0.013746,0.0602945,-0.187205,-0.253524
CLZ+22,"Soil-Water Interface",Soil,Bacteria,25,-178,186,0.0122595,0.00755355,-0.144366,0.573506
