Name,Run,LibraryName,BioSample,SampleName,Location,Status
"COVID-19 Oropharyngeal",SRR12326032,A155,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326034,A105,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326035,A153,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326037,A151,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326040,A149,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326042,A147,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326044,A145,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326047,A143,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326049,A141,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326052,A139,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326054,A137,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326056,A103,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326057,A135,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326059,A133,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326061,A131,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326064,A129,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326066,A127,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326069,A125,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326071,A123,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326073,A121,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326076,A119,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326078,A101,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326079,A117,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326080,B9,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326083,B7,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326085,B5,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326086,B4,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326091,B29,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326092,A115,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326093,B28,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326094,B27,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326095,B26,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326096,B25,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326097,B24,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326098,B236,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326099,B235,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326100,B234,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326101,B233,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326102,B232,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326104,B231,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326105,B230,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326106,B23,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326107,B229,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326108,B228,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326109,B227,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326110,B226,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326111,B224,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326112,B223,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326114,A113,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326115,B221,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326116,B220,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326117,B22,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326118,B218,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326119,B217,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326120,B216,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326126,B211,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326127,B21,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326130,B207,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326131,B206,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326132,B205,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326140,B17,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326141,B16,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326142,B15,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326143,B14,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326144,B135,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326145,B134,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326146,B133,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326135,B201,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326136,A111,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326137,B20,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326138,B19,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326088,B31,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326089,B30,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326149,B131,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326151,B13,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326152,B129,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326153,B128,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326155,B126,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326156,B125,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326157,B124,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326159,B123,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326160,B122,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326161,B121,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326162,B120,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326163,B12,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326164,B119,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326165,B118,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326166,B117,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326168,B115,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326169,A109,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326167,B116,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326154,B127,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326150,B130,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326090,B3,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326139,B18,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326147,A110,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326148,B132,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326133,B204,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326134,B202,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326128,B209,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326129,B208,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326121,B215,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326122,B214,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326123,B213,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326124,B212,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326125,A112,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326113,B222,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326103,A114,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326087,B32,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326084,B6,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326081,A116,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326082,B8,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326077,A118,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326074,A120,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326072,A122,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326070,A124,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326067,A102,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326068,A126,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326065,A128,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326062,A130,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326060,A132,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326058,A134,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326055,A136,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326053,A138,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326050,A140,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326048,A142,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326045,A104,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326046,A144,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326043,A146,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326041,A148,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326038,A150,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326036,A152,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326033,A154,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326001,A108,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326030,A157,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326031,A156,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326023,A106,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12325998,B108,SAMN15617548,"COVID19 patients_gut",Gut,Patient
"COVID-19 Oropharyngeal",SRR12326009,A9,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326010,A8,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326011,A7,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326024,A19,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326025,A18,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326026,A17,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326027,A16,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326013,A6,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326014,A5,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326015,A4,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326016,A3,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326017,A24,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326018,A23,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326019,A22,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326020,A21,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326021,A20,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326022,A2,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326039,A15,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326051,A14,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326063,A13,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326075,A12,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326158,A11,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326170,A10,SAMN15617547,"Healthy control_airway",Airway,Control
"COVID-19 Oropharyngeal",SRR12326171,A1,SAMN15617547,"Healthy control_airway",Airway,Control
